Log,LoggingLevel,Method
d,<init>,<org.apache.zookeeper.server.persistence.TxnLogToolkit: org.apache.zookeeper.server.persistence.TxnLogToolkit parseCommandLine(java.lang.String)>
recover,<init>,<org.apache.zookeeper.server.persistence.TxnLogToolkit: org.apache.zookeeper.server.persistence.TxnLogToolkit parseCommandLine(java.lang.String)>
"Invalid arguments, exiting abnormally",error,<org.apache.zookeeper.server.ZooKeeperServerMain: void main(java.lang.String)>
Usage: ZooKeeperServerMain configfile | port datadir ticktime maxcnxns,info,<org.apache.zookeeper.server.ZooKeeperServerMain: void main(java.lang.String)>
"Invalid config, exiting abnormally",error,<org.apache.zookeeper.server.ZooKeeperServerMain: void main(java.lang.String)>
"Unable to access datadir, exiting abnormally",error,<org.apache.zookeeper.server.ZooKeeperServerMain: void main(java.lang.String)>
"Unable to start AdminServer, exiting abnormally",error,<org.apache.zookeeper.server.ZooKeeperServerMain: void main(java.lang.String)>
"Unexpected exception, exiting abnormally",error,<org.apache.zookeeper.server.ZooKeeperServerMain: void main(java.lang.String)>
Exiting normally,info,<org.apache.zookeeper.server.ZooKeeperServerMain: void main(java.lang.String)>
Forcing snapshot sync is enabled,info,"<org.apache.zookeeper.server.quorum.LearnerHandler: void <init>(java.net.Socket,java.io.BufferedInputStream,org.apache.zookeeper.server.quorum.LearnerMaster)>"
"Server failed to authenticate quorum learner, addr: <*>, closing connection",error,"<org.apache.zookeeper.server.quorum.LearnerHandler: void <init>(java.net.Socket,java.io.BufferedInputStream,org.apache.zookeeper.server.quorum.LearnerMaster)>"
Host name for quorum server <*> canonicalized from <*> to <*>,info,"<org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer: void initializeWithAddressString(java.lang.String,java.util.function.Function)>"
Removing session x<*>,debug,<org.apache.zookeeper.server.SessionTrackerImpl: void removeSession(long)>
Configuring CommitProcessor with readBatchSize <*>,info,<org.apache.zookeeper.server.quorum.CommitProcessor: void setMaxReadBatchSize(int)>
"Invalid autopurge.snapRetainCount: , <*>, . Defaulting to , , ",warn,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
clientPort is not set,info,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
clientPortAddress is <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
clientPortAddress is <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
secureClientPort is not set,info,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
secureClientPortAddress is <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
secureClientPortAddress is <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
observerMasterPort is not set,info,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
observerMasterPort is <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
metricsProvider.className is <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void parseProperties(java.util.Properties)>
Clobbering already-set QuorumCnxManager (restarting leader election?),warn,<org.apache.zookeeper.server.quorum.QuorumPeer: org.apache.zookeeper.server.quorum.Election createElectionAlgorithm(int)>
Null listener when initializing cnx manager,error,<org.apache.zookeeper.server.quorum.QuorumPeer: org.apache.zookeeper.server.quorum.Election createElectionAlgorithm(int)>
Message:<*> Value:<*>,warn,"<org.apache.zookeeper.server.RateLogger: void rateLimitLog(java.lang.String,java.lang.String)>"
Unexpected exception,warn,<org.apache.zookeeper.client.StaticHostProvider: java.net.InetSocketAddress next(long)>
Commiting zxid x<*> from <*> not first!,warn,"<org.apache.zookeeper.server.quorum.Leader: boolean tryToCommit(org.apache.zookeeper.server.quorum.Leader$Proposal,long,java.net.SocketAddress)>"
First is x<*>,warn,"<org.apache.zookeeper.server.quorum.Leader: boolean tryToCommit(org.apache.zookeeper.server.quorum.Leader$Proposal,long,java.net.SocketAddress)>"
Going to commit null: <*>,warn,"<org.apache.zookeeper.server.quorum.Leader: boolean tryToCommit(org.apache.zookeeper.server.quorum.Leader$Proposal,long,java.net.SocketAddress)>"
Committing a reconfiguration! <*>,debug,"<org.apache.zookeeper.server.quorum.Leader: boolean tryToCommit(org.apache.zookeeper.server.quorum.Leader$Proposal,long,java.net.SocketAddress)>"
Received InterruptedException while waiting for cleanEvent,info,<org.apache.zookeeper.server.watch.WatcherCleaner: void run()>
Processing <*> dead watchers,info,<org.apache.zookeeper.server.watch.WatcherCleaner: void run()>
WatcherCleaner thread exited,info,<org.apache.zookeeper.server.watch.WatcherCleaner: void run()>
shutdown of request processor complete,info,<org.apache.zookeeper.server.FinalRequestProcessor: void shutdown()>
closeAll(),debug,<org.apache.zookeeper.server.NettyServerCnxnFactory: void closeAll(org.apache.zookeeper.server.ServerCnxn$DisconnectReason)>
Ignoring exception closing cnxn sessionid x<*>,warn,<org.apache.zookeeper.server.NettyServerCnxnFactory: void closeAll(org.apache.zookeeper.server.ServerCnxn$DisconnectReason)>
allChannels size: <*> cnxns size: <*>,debug,<org.apache.zookeeper.server.NettyServerCnxnFactory: void closeAll(org.apache.zookeeper.server.ServerCnxn$DisconnectReason)>
Re-registering command <*> (primary name = <*>),warn,<org.apache.zookeeper.server.admin.Commands: void registerCommand(org.apache.zookeeper.server.admin.Command)>
"<*>,  This may be caused by Java\'s being unable to resolve the Zookeeper Quorum Member\'s hostname correctly. You may want to try to adding \'-Dsun.net.spi.nameservice.provider.=dns,sun\' to your server\'s JVMFLAGS environment., ",error,"<org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner: byte createSaslToken(byte,javax.security.sasl.SaslClient,org.apache.zookeeper.Login)>"
"Cannot make SASL token without subject defined. For diagnosis, please look for WARNs and ERRORs in your log related to the Login class.",<init>,"<org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner: byte createSaslToken(byte,javax.security.sasl.SaslClient,org.apache.zookeeper.Login)>"
Interrupted while delaying requests,warn,<org.apache.zookeeper.server.controller.ControllableConnectionFactory: void delayRequestIfNeeded()>
Client principal is \<*>\.,debug,<org.apache.zookeeper.Login: javax.security.auth.kerberos.KerberosTicket getTGT()>
Server principal is \<*>\.,debug,<org.apache.zookeeper.Login: javax.security.auth.kerberos.KerberosTicket getTGT()>
"<*>,  is relative. Prepend ., <*>,  to indicate that you\'re sure!, ",warn,<org.apache.zookeeper.server.util.VerifyingFileFactory: void doWarnForRelativePath(java.io.File)>
injectSessionExpiration() called,info,<org.apache.zookeeper.ZooKeeperTestable: void injectSessionExpiration()>
syncEnabled =<*>,info,"<org.apache.zookeeper.server.quorum.ObserverZooKeeperServer: void <init>(org.apache.zookeeper.server.persistence.FileTxnSnapLog,org.apache.zookeeper.server.quorum.QuorumPeer,org.apache.zookeeper.server.ZKDatabase)>"
Issued a read since we do not have anything to consume after channelReadComplete,debug,<org.apache.zookeeper.server.NettyServerCnxnFactory$CnxnChannelHandler: void channelReadComplete(io.netty.channel.ChannelHandlerContext)>
Missing algorithm,error,"<org.apache.zookeeper.server.auth.DigestAuthenticationProvider: org.apache.zookeeper.KeeperException$Code handleAuthentication(org.apache.zookeeper.server.ServerCnxn,byte)>"
Configuring CommitProcessor with readBatchSize <*> commitBatchSize <*>,info,<org.apache.zookeeper.server.quorum.CommitProcessor: void initBatchSizes()>
"ZooKeeper server is not running, so not proceeding to shutdown!",debug,<org.apache.zookeeper.server.quorum.ReadOnlyZooKeeperServer: void shutdown()>
Error creating SSL context and options,error,<org.apache.zookeeper.common.X509Util: int getSslHandshakeTimeoutMillis()>
Error parsing config property <*>,error,<org.apache.zookeeper.common.X509Util: int getSslHandshakeTimeoutMillis()>
PurgeTxnLog dataLogDir snapDir -n count,println,<org.apache.zookeeper.server.PurgeTxnLog: void printUsage()>
\tdataLogDir -- path to the txn log directory,println,<org.apache.zookeeper.server.PurgeTxnLog: void printUsage()>
"\tcount -- the number of old snaps/logs you want to keep, value should be greater than or equal to ",println,<org.apache.zookeeper.server.PurgeTxnLog: void printUsage()>
Already connected to requested learner master sid=<*> addr=<*>,info,<org.apache.zookeeper.server.quorum.Observer: boolean setLearnerMaster(java.lang.String)>
Requesting disconnect and reconnect to new learner master sid=<*> addr=<*>,info,<org.apache.zookeeper.server.quorum.Observer: boolean setLearnerMaster(java.lang.String)>
Unable to register logj JMX control,warn,<org.apache.zookeeper.server.quorum.QuorumPeerMain: void runFromConfig(org.apache.zookeeper.server.quorum.QuorumPeerConfig)>
"Starting quorum peer, myid=, <*>, ",info,<org.apache.zookeeper.server.quorum.QuorumPeerMain: void runFromConfig(org.apache.zookeeper.server.quorum.QuorumPeerConfig)>
,<init>,<org.apache.zookeeper.server.quorum.QuorumPeerMain: void runFromConfig(org.apache.zookeeper.server.quorum.QuorumPeerConfig)>
,setClientPortListenBacklog,<org.apache.zookeeper.server.quorum.QuorumPeerMain: void runFromConfig(org.apache.zookeeper.server.quorum.QuorumPeerConfig)>
,<init>,<org.apache.zookeeper.server.quorum.QuorumPeerMain: void runFromConfig(org.apache.zookeeper.server.quorum.QuorumPeerConfig)>
Error while stopping metrics,warn,<org.apache.zookeeper.server.quorum.QuorumPeerMain: void runFromConfig(org.apache.zookeeper.server.quorum.QuorumPeerConfig)>
Quorum Peer interrupted,warn,<org.apache.zookeeper.server.quorum.QuorumPeerMain: void runFromConfig(org.apache.zookeeper.server.quorum.QuorumPeerConfig)>
Error while stopping metrics,warn,<org.apache.zookeeper.server.quorum.QuorumPeerMain: void runFromConfig(org.apache.zookeeper.server.quorum.QuorumPeerConfig)>
Error while stopping metrics,warn,<org.apache.zookeeper.server.quorum.QuorumPeerMain: void runFromConfig(org.apache.zookeeper.server.quorum.QuorumPeerConfig)>
Shutting down,info,<org.apache.zookeeper.server.RequestThrottler: void shutdown()>
Interrupted while waiting for <*> to finish,warn,<org.apache.zookeeper.server.RequestThrottler: void shutdown()>
Interrupted while waiting for <*> to finish,warn,<org.apache.zookeeper.server.RequestThrottler: void shutdown()>
Not attempting to re-login since the last re-login was attempted less than <*> seconds before.,warn,<org.apache.zookeeper.Login: boolean hasSufficientTimeElapsed()>
Could not register connection,warn,<org.apache.zookeeper.server.ServerCnxnFactory: void registerConnection(org.apache.zookeeper.server.ServerCnxn)>
Incorrect password from <*> for session x<*>,warn,"<org.apache.zookeeper.server.ZooKeeperServer: void reopenSession(org.apache.zookeeper.server.ServerCnxn,long,byte,int)>"
Connection close fails when migrates state from <*> to CLOSED,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void close()>
Initial message parsed by <*>: <*>,debug,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void handleConnection(java.net.Socket,java.io.DataInputStream)>"
Initial message parsing error!,error,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void handleConnection(java.net.Socket,java.io.DataInputStream)>"
Setting arbitrary identifier to observer: <*>,info,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void handleConnection(java.net.Socket,java.io.DataInputStream)>"
Exception reading or writing challenge,warn,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void handleConnection(java.net.Socket,java.io.DataInputStream)>"
Create new connection to server: <*>,debug,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void handleConnection(java.net.Socket,java.io.DataInputStream)>"
"We got a connection request from a server with our own ID. This should be either a configuration error, or a bug.",warn,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: void handleConnection(java.net.Socket,java.io.DataInputStream)>"
error while waiting for Login thread to shutdown.,warn,<org.apache.zookeeper.Login: void shutdown()>
<*> was interrupted and is shutting down...,debug,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void runLoop()>
Got file changed event: <*> with context: <*>,debug,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void runLoop()>
Error from callback,error,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void runLoop()>
"Watch key no longer valid, maybe the directory is inaccessible?",error,<org.apache.zookeeper.common.FileChangeWatcher$WatcherThread: void runLoop()>
Tracking global session x<*>,info,"<org.apache.zookeeper.server.quorum.LeaderSessionTracker: boolean trackSession(long,int)>"
Quit leading due to voter changed mind.,info,<org.apache.zookeeper.server.quorum.Leader: void quitLeading()>
No password found for user: <*>,warn,<org.apache.zookeeper.server.quorum.auth.SaslQuorumServerCallbackHandler: void handlePasswordCallback(javax.security.auth.callback.PasswordCallback)>
Deleting ephemeral node <*> for session <*>,debug,"<org.apache.zookeeper.server.DataTree: void deleteNodes(long,long,java.lang.Iterable)>"
Ignoring NoNodeException for path <*> while removing ephemeral for dead session <*>,warn,"<org.apache.zookeeper.server.DataTree: void deleteNodes(long,long,java.lang.Iterable)>"
"Ignoring processTxn failure hdr: <*>, error: <*>, path: <*>",debug,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: void processTransaction(org.apache.zookeeper.txn.TxnHeader,org.apache.zookeeper.server.DataTree,java.util.Map,org.apache.jute.Record)>"
Purge task started.,info,<org.apache.zookeeper.server.DatadirCleanupManager$PurgeTask: void run()>
Error occurred while purging.,error,<org.apache.zookeeper.server.DatadirCleanupManager$PurgeTask: void run()>
Purge task completed.,info,<org.apache.zookeeper.server.DatadirCleanupManager$PurgeTask: void run()>
Ignoring unexpected runtime exception,warn,<org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread: void run()>
Ignoring unexpected exception,warn,<org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread: void run()>
selector thread exitted run method,info,<org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread: void run()>
selector thread exitted run method,info,<org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread: void run()>
dataLogDir=,print,<org.apache.zookeeper.server.ZooKeeperServer: void dumpConf(java.io.PrintWriter)>
dataLogSize=,print,<org.apache.zookeeper.server.ZooKeeperServer: void dumpConf(java.io.PrintWriter)>
clientPortListenBacklog=,print,<org.apache.zookeeper.server.ZooKeeperServer: void dumpConf(java.io.PrintWriter)>
terminating learner handler connection on demand <*>,info,<org.apache.zookeeper.server.quorum.LearnerHandlerBean: void terminateConnection()>
Somehow session x<*> expired right after being renewed! (impossible),error,"<org.apache.zookeeper.server.quorum.Leader: void revalidateSession(org.apache.zookeeper.server.quorum.QuorumPacket,org.apache.zookeeper.server.quorum.LearnerHandler)>"
Unable to register logj JMX control,warn,<org.apache.zookeeper.server.ZooKeeperServerMain: void initializeAndRun(java.lang.String)>
We should not handle <*>,error,"<org.apache.zookeeper.server.util.RequestPathMetricsCollector: void registerRequest(int,java.lang.String)>"
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.LearnerZooKeeperServer: void unregisterJMX(org.apache.zookeeper.server.quorum.Learner)>
Adding session x<*>,debug,"<org.apache.zookeeper.server.SessionTrackerImpl: boolean trackSession(long,int)>"
"Connection request to server id: <*> is already in progress, so skipping this request",debug,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: boolean initiateConnectionAsync(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.Long)>"
Exception while submitting quorum connection request,error,"<org.apache.zookeeper.server.quorum.QuorumCnxManager: boolean initiateConnectionAsync(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.Long)>"
Error joining old acceptThread when reconfiguring client port.,error,<org.apache.zookeeper.server.NIOServerCnxnFactory: void reconfigure(java.net.InetSocketAddress)>
binding to port <*>,info,<org.apache.zookeeper.server.NIOServerCnxnFactory: void reconfigure(java.net.InetSocketAddress)>
Error reconfiguring client port to <*>,error,<org.apache.zookeeper.server.NIOServerCnxnFactory: void reconfigure(java.net.InetSocketAddress)>
Unexpected exception. Destruction averted.,warn,"<org.apache.zookeeper.server.NIOServerCnxn: int sendResponse(org.apache.zookeeper.proto.ReplyHeader,org.apache.jute.Record,java.lang.String,java.lang.String,org.apache.zookeeper.data.Stat,int)>"
Ignoring interrupted exception during shutdown,warn,<org.apache.zookeeper.server.NIOServerCnxnFactory: void shutdown()>
Ignoring unexpected exception during shutdown,warn,<org.apache.zookeeper.server.NIOServerCnxnFactory: void shutdown()>
Sending DIFF zxid=x<*>  for peer sid: <*>,info,"<org.apache.zookeeper.server.quorum.LearnerHandler: long queueCommittedProposals(java.util.Iterator,long,java.lang.Long,java.lang.Long)>"
Sending DIFF zxid=x<*>  for peer sid: <*>,info,"<org.apache.zookeeper.server.quorum.LearnerHandler: long queueCommittedProposals(java.util.Iterator,long,java.lang.Long,java.lang.Long)>"
"Cannot send TRUNC to peer sid: , <*>,  peer zxid is from different epoch, ",warn,"<org.apache.zookeeper.server.quorum.LearnerHandler: long queueCommittedProposals(java.util.Iterator,long,java.lang.Long,java.lang.Long)>"
Sending TRUNC zxid=x<*>  for peer sid: <*>,info,"<org.apache.zookeeper.server.quorum.LearnerHandler: long queueCommittedProposals(java.util.Iterator,long,java.lang.Long,java.lang.Long)>"
Sending TRUNC zxid=x<*>  for peer sid: <*>,info,"<org.apache.zookeeper.server.quorum.LearnerHandler: long queueCommittedProposals(java.util.Iterator,long,java.lang.Long,java.lang.Long)>"
Error in running command ,error,<org.apache.zookeeper.server.command.AbstractFourLetterCommand: void run()>
Unknown status:<*>!,error,<org.apache.zookeeper.server.quorum.auth.QuorumAuth$Status: org.apache.zookeeper.server.quorum.auth.QuorumAuth$Status getStatus(int)>
"binding to port <*>, <*>",info,<org.apache.zookeeper.server.NettyServerCnxnFactory: void reconfigure(java.net.InetSocketAddress)>
"address is the same, skip rebinding",info,<org.apache.zookeeper.server.NettyServerCnxnFactory: void reconfigure(java.net.InetSocketAddress)>
bound to port <*>,info,<org.apache.zookeeper.server.NettyServerCnxnFactory: void reconfigure(java.net.InetSocketAddress)>
Error while reconfiguring,error,<org.apache.zookeeper.server.NettyServerCnxnFactory: void reconfigure(java.net.InetSocketAddress)>
WatcherCleaner thread shutdown is initiated,info,<org.apache.zookeeper.server.watch.WatcherCleaner: void shutdown()>
Peer state changed: <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setPeerState(org.apache.zookeeper.server.quorum.QuorumPeer$ServerState)>
readConnectResult <*> <*>,trace,<org.apache.zookeeper.ClientCnxnSocket: void readConnectResult()>
Connected to an old server; r-o mode will be unavailable,warn,<org.apache.zookeeper.ClientCnxnSocket: void readConnectResult()>
Initializing leader election protocol...,debug,<org.apache.zookeeper.server.quorum.QuorumPeer: org.apache.zookeeper.server.quorum.Election makeLEStrategy()>
Invalid max bytes for all large requests <*>. It should be a positive number.,warn,<org.apache.zookeeper.server.ZooKeeperServer: void setLargeRequestMaxBytes(int)>
Will not change the setting. The max bytes stay at <*>,warn,<org.apache.zookeeper.server.ZooKeeperServer: void setLargeRequestMaxBytes(int)>
The max bytes for all large requests are set to <*>,info,<org.apache.zookeeper.server.ZooKeeperServer: void setLargeRequestMaxBytes(int)>
write success: <*>,trace,<org.apache.zookeeper.server.NettyServerCnxnFactory$CnxnChannelHandler: void lambda$new$0(io.netty.util.concurrent.Future)>
saslClient is unexpectedly null. Cannot respond to server\'s SASL message; ignoring.,error,"<org.apache.zookeeper.client.ZooKeeperSaslClient: void respondToServer(byte,org.apache.zookeeper.ClientCnxn)>"
SASL authentication failed using login context \'<*>\'.,error,"<org.apache.zookeeper.client.ZooKeeperSaslClient: void respondToServer(byte,org.apache.zookeeper.ClientCnxn)>"
"Started AdminServer on address <*>, port <*> and command URL <*>",info,<org.apache.zookeeper.server.admin.JettyAdminServer: void start()>
Restarting Leader Election,warn,"<org.apache.zookeeper.server.quorum.QuorumPeer: void restartLeaderElection(org.apache.zookeeper.server.quorum.flexible.QuorumVerifier,org.apache.zookeeper.server.quorum.flexible.QuorumVerifier)>"
Not starting Read-only server as startup follows shutdown!,warn,<org.apache.zookeeper.server.quorum.ReadOnlyZooKeeperServer: void startup()>
Read-only server started,info,<org.apache.zookeeper.server.quorum.ReadOnlyZooKeeperServer: void startup()>
Starting JVM Pause Monitor with infoThresholdMs:<*> warnThresholdMs:<*> and sleepTimeMs:<*>,info,<org.apache.zookeeper.server.util.JvmPauseMonitor$JVMMonitor: void run()>
ignoring exception during output shutdown,debug,<org.apache.zookeeper.server.NIOServerCnxn: void closeSock(java.nio.channels.SocketChannel)>
ignoring exception during input shutdown,debug,<org.apache.zookeeper.server.NIOServerCnxn: void closeSock(java.nio.channels.SocketChannel)>
ignoring exception during socket close,debug,<org.apache.zookeeper.server.NIOServerCnxn: void closeSock(java.nio.channels.SocketChannel)>
ignoring exception during socketchannel close,debug,<org.apache.zookeeper.server.NIOServerCnxn: void closeSock(java.nio.channels.SocketChannel)>
Opening datadir:<*> snapDir:<*>,debug,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: void <init>(java.io.File,java.io.File)>"
"Unable to create data directory , <*>, ",<init>,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: void <init>(java.io.File,java.io.File)>"
"Cannot write to data directory , <*>, ",<init>,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: void <init>(java.io.File,java.io.File)>"
"Unable to create snap directory , <*>, ",<init>,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: void <init>(java.io.File,java.io.File)>"
"Cannot write to snap directory , <*>, ",<init>,"<org.apache.zookeeper.server.persistence.FileTxnSnapLog: void <init>(java.io.File,java.io.File)>"
processing command <*><*>,info,<org.apache.zookeeper.server.controller.ZooKeeperServerController: void processCommand(org.apache.zookeeper.server.controller.ControlCommand)>
Submitting global closeSession request for session x<*> in ReadOnly mode,warn,<org.apache.zookeeper.server.quorum.ReadOnlyZooKeeperServer: void setLocalSessionFlag(org.apache.zookeeper.server.Request)>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.ReadOnlyZooKeeperServer: void unregisterJMX()>
close called for session id: x<*>,debug,<org.apache.zookeeper.server.NettyServerCnxn: void close()>
cnxns size:<*>,debug,<org.apache.zookeeper.server.NettyServerCnxn: void close()>
close in progress for session id: x<*>,debug,<org.apache.zookeeper.server.NettyServerCnxn: void close()>
Failed to register with JMX,warn,<org.apache.zookeeper.server.quorum.LearnerZooKeeperServer: void registerJMX()>
"About to leave FLE instance: leader=<*>, zxid=x<*>, my id=<*>, my state=<*>",debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: void leaveInstance(org.apache.zookeeper.server.quorum.Vote)>
Connection factory did not start,info,<org.apache.zookeeper.server.ZooKeeperServerMain: void close()>
Unexpected exception,warn,<org.apache.zookeeper.server.WorkerService$ScheduledWorkRequest: void run()>
"Successfully completed the authentication using SASL. server addr: <*>, status: <*>",info,"<org.apache.zookeeper.server.quorum.auth.SaslQuorumAuthLearner: void checkAuthStatus(java.net.Socket,org.apache.zookeeper.server.quorum.auth.QuorumAuth$Status)>"
"Initiating client connection, connectString=<*> sessionTimeout=<*> watcher=<*> sessionId=x<*> sessionPasswd=<*>",info,"<org.apache.zookeeper.ZooKeeper: void <init>(java.lang.String,int,org.apache.zookeeper.Watcher,long,byte,boolean,org.apache.zookeeper.client.HostProvider,org.apache.zookeeper.client.ZKClientConfig)>"
Unexpected ops in accept select <*>,warn,<org.apache.zookeeper.server.NIOServerCnxnFactory$AcceptThread: void select()>
Ignoring IOException while selecting,warn,<org.apache.zookeeper.server.NIOServerCnxnFactory$AcceptThread: void select()>
