Log,LoggingLevel,Method
INTERNAL_SERVER_ERROR,warn,<org.apache.hadoop.hdfs.web.resources.ExceptionHandler: javax.ws.rs.core.Response toResponse(java.lang.Exception)>
url= <*> ,trace,"<org.apache.hadoop.hdfs.web.HftpFileSystem: java.net.URL getNamenodeURL(java.lang.String,java.lang.String)>"
Exception getting delegation token,debug,<org.apache.hadoop.hdfs.web.HftpFileSystem$2: org.apache.hadoop.security.token.Token run()>
Got dt for  <*> ;t.service= <*> ,debug,<org.apache.hadoop.hdfs.web.HftpFileSystem$2: org.apache.hadoop.security.token.Token run()>
"Couldn\'t connect to  <*> , assuming security is disabled ",warn,<org.apache.hadoop.hdfs.web.HftpFileSystem$2: org.apache.hadoop.security.token.Token run()>
Saved MD  digestString  to  <*> ,debug,"<org.apache.hadoop.hdfs.util.MD5FileUtils: void saveMD5File(java.io.File,java.lang.String)>"
deleting   <*>  FAILED ,warn,"<org.apache.hadoop.hdfs.util.MD5FileUtils: void renameMD5File(java.io.File,java.io.File)>"
"initial capacity= <*> , max load factor=  maxLoadFactor , min load factor=  minLoadFactor ",debug,"<org.apache.hadoop.hdfs.util.LightWeightHashSet: void <init>(int,float,float)>"
Unable to delete tmp file  <*> ,warn,<org.apache.hadoop.hdfs.util.AtomicFileOutputStream: void close()>
Unable to abort file  <*> ,warn,<org.apache.hadoop.hdfs.util.AtomicFileOutputStream: void abort()>
Unable to delete tmp file during abort  <*> ,warn,<org.apache.hadoop.hdfs.util.AtomicFileOutputStream: void abort()>
Interrupted. Stopping the WebImageViewer.,info,<org.apache.hadoop.hdfs.tools.offlineImageViewer.WebImageViewer: void initServerAndWait(java.lang.String)>
WebImageViewer started. Listening on  <*> . Press Ctrl+C to stop the viewer. ,info,<org.apache.hadoop.hdfs.tools.offlineImageViewer.WebImageViewer: void initServer(java.lang.String)>
image loading failed at offset  <*> ,error,<org.apache.hadoop.hdfs.tools.offlineImageViewer.OfflineImageViewer: void go()>
Loading section  <*>  length:  <*> ,debug,<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader load(java.lang.String)>
Loading inode directory section,info,"<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: java.util.Map loadINodeDirectorySection(java.io.InputStream,java.util.List)>"
Loaded  counter  directories ,info,"<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: java.util.Map loadINodeDirectorySection(java.io.InputStream,java.util.List)>"
Loading  <*>  strings ,info,<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: java.lang.String[] loadStringTable(java.io.InputStream)>
Loading inode references,info,<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: com.google.common.collect.ImmutableList loadINodeReferenceSection(java.io.InputStream)>
Loaded  counter  inode references ,info,<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: com.google.common.collect.ImmutableList loadINodeReferenceSection(java.io.InputStream)>
Sorting inodes,debug,<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: byte[][] loadINodeSection(java.io.InputStream)>
Finished sorting inodes,debug,<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: byte[][] loadINodeSection(java.io.InputStream)>
Loading  <*>  inodes. ,info,<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: byte[][] loadINodeSection(java.io.InputStream)>
<*>  method= <*>  op= <*>  target= path ,info,<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageHandler: org.jboss.netty.channel.ChannelFuture handleOperation(org.jboss.netty.channel.MessageEvent)>
Got IOException at position  <*> ,error,<org.apache.hadoop.hdfs.tools.offlineEditsViewer.OfflineEditsBinaryLoader: void loadEdits()>
Got IOException while reading stream!  Resyncing.,error,<org.apache.hadoop.hdfs.tools.offlineEditsViewer.OfflineEditsBinaryLoader: void loadEdits()>
Got RuntimeException at position  <*> ,error,<org.apache.hadoop.hdfs.tools.offlineEditsViewer.OfflineEditsBinaryLoader: void loadEdits()>
Got RuntimeException while reading stream!  Resyncing.,error,<org.apache.hadoop.hdfs.tools.offlineEditsViewer.OfflineEditsBinaryLoader: void loadEdits()>
Using NN principal:  <*> ,debug,<org.apache.hadoop.hdfs.tools.GetGroups: void setConf(org.apache.hadoop.conf.Configuration)>
"Got a fatal error, exiting now",fatal,<org.apache.hadoop.hdfs.tools.DFSZKFailoverController: void main(java.lang.String[])>
Allowed RPC access from  <*>  at  <*> ,info,<org.apache.hadoop.hdfs.tools.DFSZKFailoverController: void checkRpcAdminAccess()>
Disallowed RPC access from  <*>  at  <*> . Not listed in  dfs.cluster.administrators ,warn,<org.apache.hadoop.hdfs.tools.DFSZKFailoverController: void checkRpcAdminAccess()>
Failover controller configured for NameNode  localTarget ,info,"<org.apache.hadoop.hdfs.tools.DFSZKFailoverController: void <init>(org.apache.hadoop.conf.Configuration,org.apache.hadoop.hdfs.tools.NNHAServiceTarget)>"
Using NN principal:  <*> ,debug,<org.apache.hadoop.hdfs.tools.DFSHAAdmin: org.apache.hadoop.conf.Configuration addSecurityConfiguration(org.apache.hadoop.conf.Configuration)>
Exception encountered:,debug,<org.apache.hadoop.hdfs.tools.DFSAdmin: int run(java.lang.String[])>
Retrieving token from:  <*> ,debug,"<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: org.apache.hadoop.security.Credentials getDTfromRemote(org.apache.hadoop.hdfs.web.URLConnectionFactory,java.net.URI,java.lang.String,java.lang.String)>"
error in renew over HTTP,info,"<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: long renewDelegationToken(org.apache.hadoop.hdfs.web.URLConnectionFactory,java.net.URI,org.apache.hadoop.security.token.Token)>"
rethrowing exception from HTTP request:  <*> ,info,"<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: long renewDelegationToken(org.apache.hadoop.hdfs.web.URLConnectionFactory,java.net.URI,org.apache.hadoop.security.token.Token)>"
Error when dealing remote token:,info,"<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: java.net.HttpURLConnection run(org.apache.hadoop.hdfs.web.URLConnectionFactory,java.net.URL)>"
rethrowing exception from HTTP request:  <*> ,info,"<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: java.net.HttpURLConnection run(org.apache.hadoop.hdfs.web.URLConnectionFactory,java.net.URL)>"
Error response from HTTP request= <*> ;ec= ie ;em= exceptionMsg ,info,<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: java.io.IOException getExceptionFromResponse(java.net.HttpURLConnection)>
Exception from HTTP response= <*> ,info,<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: java.io.IOException getExceptionFromResponse(java.net.HttpURLConnection)>
failed to create object of this class,warn,<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: java.io.IOException getExceptionFromResponse(java.net.HttpURLConnection)>
Renewed token for  <*>  until:  <*> ,debug,<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher$1: java.lang.Object run()>
Cancelled token for  <*> ,debug,<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher$1: java.lang.Object run()>
this : unregisterSlot  slotIdx ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: void unregisterSlot(int)>
this : freed ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: void free()>
this : failed to munmap ,warn,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: void free()>
"creating  <*> (shmId= shmId , mmappedLength= <*> , baseAddress= <*> , slots.length= <*> ) ",trace,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: void <init>(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$ShmId,java.io.FileInputStream)>"
failed to load misc.Unsafe,error,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: sun.misc.Unsafe safetyDance()>
this : registerSlot  slotIdx : allocatedSlots= <*> <*> ,trace,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot registerSlot(int,org.apache.hadoop.hdfs.ExtendedBlockId)>"
this : allocAndRegisterSlot  <*> : allocatedSlots= <*> <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocAndRegisterSlot(org.apache.hadoop.hdfs.ExtendedBlockId)>
closed  this suffix ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: void close()>
this : created mmap of size  <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: java.nio.MappedByteBuffer loadMmapInternal()>
this : mmap error ,warn,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: java.nio.MappedByteBuffer loadMmapInternal()>
this : mmap error ,warn,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: java.nio.MappedByteBuffer loadMmapInternal()>
this : checked shared memory segment.  isStale= <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: boolean isStale()>
"this  is stale because it\'s  stale#  ms old, and staleThresholdMs =  <*> ",trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: boolean isStale()>
"this  is not stale because it\'s only  stale#  ms old, and staleThresholdMs =  <*> ",trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: boolean isStale()>
this : added no-checksum anchor to slot  <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: boolean addNoChecksumAnchor()>
this : could not add no-checksum anchor to slot  <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: boolean addNoChecksumAnchor()>
this :  purgeReason#_ ,debug,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void unref(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica)>
this : unref replica  replica :  purgeReason  refCount  <*>  ->  <*> <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void unref(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica)>
this : trimEvictionMaps is purging  replica <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void trimEvictionMaps()>
this : starting cache cleaner thread which will run  every  <*>  ms ,debug,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void startCacheCleanerThreadIfNeeded()>
this :  <*>  no longer contains  replica .  refCount  <*>  ->  <*> <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void ref(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica)>
this : replica  refCount  <*>  ->  <*> <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void ref(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica)>
this : closing ,info,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void close()>
failed to create ShortCircuitShmManager,error,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void <init>(int,long,int,long,long,long,int)>"
this : retrying  <*> ,debug,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetchOrCreate(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator)>"
this : can\'t fetchOrCreate  key  because the cache is closed. ,trace,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetchOrCreate(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator)>"
this : interrupted while waiting for  key ,info,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetch(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.util.Waitable)>"
this : got stale replica  <*> .  Removing  this replica from the replicaInfoMap and retrying. ,info,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetch(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.util.Waitable)>"
this : found waitable for  key ,trace,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetch(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.util.Waitable)>"
this : could not get  key  due to InvalidToken  exception. ,warn,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetch(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.util.Waitable)>"
this : failed to get  key ,warn,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetch(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.util.Waitable)>"
this : loading  key ,trace,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo create(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator,org.apache.hadoop.util.Waitable)>"
this : successfully loaded  <*> ,trace,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo create(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator,org.apache.hadoop.util.Waitable)>"
this : failed to load  key ,warn,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo create(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator,org.apache.hadoop.util.Waitable)>"
this : could not load  key  due to InvalidToken  exception. ,warn,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo create(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator,org.apache.hadoop.util.Waitable)>"
this : failed to load  key ,warn,"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo create(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator,org.apache.hadoop.util.Waitable)>"
demoteOldEvictable: demoting  <*> :  <*> :  <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: int demoteOldEvictableMmaped(long)>
<*> : failed to release  short-circuit shared memory slot  <*>  by sending  ReleaseShortCircuitAccessRequestProto to  <*> .  Closing shared memory segment. ,error,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$SlotReleaser: void run()>
<*> : about to release  <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$SlotReleaser: void run()>
<*> : released  <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$SlotReleaser: void run()>
this : cache cleaner running at  <*> ,debug,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$CacheCleaner: void run()>
this : finishing cache cleaner run started at  <*> .  Demoted  <*>  mmapped replicas;  purged  numPurged  replicas. ,debug,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$CacheCleaner: void run()>
CacheCleaner: purging  replica :  <*> ,trace,<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$CacheCleaner: void run()>
Both short-circuit local reads and UNIX domain socket are disabled.,debug,<org.apache.hadoop.hdfs.shortcircuit.DomainSocketFactory: void <init>(org.apache.hadoop.hdfs.DFSClient$Conf)>
feature  is enabled. ,debug,<org.apache.hadoop.hdfs.shortcircuit.DomainSocketFactory: void <init>(org.apache.hadoop.hdfs.DFSClient$Conf)>
feature#_  cannot be used because  <*> ,warn,<org.apache.hadoop.hdfs.shortcircuit.DomainSocketFactory: void <init>(org.apache.hadoop.hdfs.DFSClient$Conf)>
error creating DomainSocket,warn,"<org.apache.hadoop.hdfs.shortcircuit.DomainSocketFactory: org.apache.hadoop.net.unix.DomainSocket createSocket(org.apache.hadoop.hdfs.shortcircuit.DomainSocketFactory$PathInfo,int)>"
this : error shutting down shm: got IOException calling  shutdown(SHUT_RDWR) ,warn,<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: void shutdown(org.apache.hadoop.hdfs.shortcircuit.DfsClientShm)>
this : freeing empty stale  shm ,trace,<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: void freeSlot(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot)>
this : shutting down UNIX domain socket for  empty  shm ,trace,<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: void freeSlot(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot)>
this : pulled the last slot  <*>  out of  shm ,trace,<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlotFromExistingShm(org.apache.hadoop.hdfs.ExtendedBlockId)>
this : pulled slot  <*>  out of  shm ,trace,<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlotFromExistingShm(org.apache.hadoop.hdfs.ExtendedBlockId)>
this : the UNIX domain socket associated with  this short-circuit memory closed before we could make  use of the shm. ,debug,"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlot(org.apache.hadoop.hdfs.net.DomainPeer,org.apache.commons.lang.mutable.MutableBoolean,java.lang.String,org.apache.hadoop.hdfs.ExtendedBlockId)>"
this : the DfsClientShmManager has been closed. ,trace,"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlot(org.apache.hadoop.hdfs.net.DomainPeer,org.apache.commons.lang.mutable.MutableBoolean,java.lang.String,org.apache.hadoop.hdfs.ExtendedBlockId)>"
this : shared memory segment access is disabled. ,trace,"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlot(org.apache.hadoop.hdfs.net.DomainPeer,org.apache.commons.lang.mutable.MutableBoolean,java.lang.String,org.apache.hadoop.hdfs.ExtendedBlockId)>"
this : waiting for loading to finish... ,trace,"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlot(org.apache.hadoop.hdfs.net.DomainPeer,org.apache.commons.lang.mutable.MutableBoolean,java.lang.String,org.apache.hadoop.hdfs.ExtendedBlockId)>"
this : datanode does not support short-circuit  shared memory access:  <*> ,info,"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.DfsClientShm requestNewShm(java.lang.String,org.apache.hadoop.hdfs.net.DomainPeer)>"
this : createNewShm: created  <*> ,trace,"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.DfsClientShm requestNewShm(java.lang.String,org.apache.hadoop.hdfs.net.DomainPeer)>"
this : error requesting short-circuit shared memory  access:  <*> ,warn,"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.DfsClientShm requestNewShm(java.lang.String,org.apache.hadoop.hdfs.net.DomainPeer)>"
"HTTP  <*> :  op ,  path , ugi= ugi ,  username ,  doAsUser <*> ",trace,"<org.apache.hadoop.hdfs.server.namenode.web.resources.NamenodeWebHdfsMethods: void init(org.apache.hadoop.security.UserGroupInformation,org.apache.hadoop.hdfs.web.resources.DelegationParam,org.apache.hadoop.hdfs.web.resources.UserParam,org.apache.hadoop.hdfs.web.resources.DoAsParam,org.apache.hadoop.hdfs.web.resources.UriFsPathParam,org.apache.hadoop.hdfs.web.resources.HttpOpParam,org.apache.hadoop.hdfs.web.resources.Param[])>"
redirectURI= <*> ,trace,"<org.apache.hadoop.hdfs.server.namenode.web.resources.NamenodeWebHdfsMethods: java.net.URI redirectURI(org.apache.hadoop.hdfs.server.namenode.NameNode,org.apache.hadoop.security.UserGroupInformation,org.apache.hadoop.hdfs.web.resources.DelegationParam,org.apache.hadoop.hdfs.web.resources.UserParam,org.apache.hadoop.hdfs.web.resources.DoAsParam,java.lang.String,org.apache.hadoop.hdfs.web.resources.HttpOpParam$Op,long,long,java.lang.String,org.apache.hadoop.hdfs.web.resources.Param[])>"
Image upload with txid  txid  conflicted with a previous image upload to the  same NameNode. Continuing... ,info,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void uploadImageFromStorage(java.net.URL,org.apache.hadoop.conf.Configuration,org.apache.hadoop.hdfs.server.namenode.NNStorage,org.apache.hadoop.hdfs.server.namenode.NNStorage$NameNodeFile,long,org.apache.hadoop.hdfs.util.Canceler)>"
Uploaded image with txid  txid  to namenode at  fsName  in  <*>  seconds ,info,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void uploadImageFromStorage(java.net.URL,org.apache.hadoop.conf.Configuration,org.apache.hadoop.hdfs.server.namenode.NNStorage,org.apache.hadoop.hdfs.server.namenode.NNStorage$NameNodeFile,long,org.apache.hadoop.hdfs.util.Canceler)>"
Image Transfer timeout configured to  <*>  milliseconds ,info,<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void setTimeout(java.net.HttpURLConnection)>
Dest file:  f ,debug,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void downloadEditsToStorage(java.net.URL,org.apache.hadoop.hdfs.server.protocol.RemoteEditLog,org.apache.hadoop.hdfs.server.namenode.NNStorage)>"
Renaming  <*>  to  <*> ,debug,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void downloadEditsToStorage(java.net.URL,org.apache.hadoop.hdfs.server.protocol.RemoteEditLog,org.apache.hadoop.hdfs.server.namenode.NNStorage)>"
Skipping download of remote edit log  log  since it already is stored locally at  f ,info,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void downloadEditsToStorage(java.net.URL,org.apache.hadoop.hdfs.server.protocol.RemoteEditLog,org.apache.hadoop.hdfs.server.namenode.NNStorage)>"
Downloaded file  <*>  size  <*>  bytes. ,info,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void downloadEditsToStorage(java.net.URL,org.apache.hadoop.hdfs.server.protocol.RemoteEditLog,org.apache.hadoop.hdfs.server.namenode.NNStorage)>"
Unable to rename edits file from  <*>  to  <*> ,warn,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void downloadEditsToStorage(java.net.URL,org.apache.hadoop.hdfs.server.protocol.RemoteEditLog,org.apache.hadoop.hdfs.server.namenode.NNStorage)>"
Connection closed by client,info,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void copyFileToStream(java.io.OutputStream,java.io.File,java.io.FileInputStream,org.apache.hadoop.hdfs.util.DataTransferThrottler,org.apache.hadoop.hdfs.util.Canceler)>"
SIMULATING A CORRUPT BYTE IN IMAGE TRANSFER!,warn,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void copyFileToStream(java.io.OutputStream,java.io.File,java.io.FileInputStream,org.apache.hadoop.hdfs.util.DataTransferThrottler,org.apache.hadoop.hdfs.util.Canceler)>"
Overwriting existing file  f  with file downloaded from  url ,warn,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: org.apache.hadoop.io.MD5Hash receiveFile(java.lang.String,java.util.List,org.apache.hadoop.hdfs.server.common.Storage,boolean,long,org.apache.hadoop.io.MD5Hash,java.lang.String,java.io.InputStream,org.apache.hadoop.hdfs.util.DataTransferThrottler)>"
Unable to download file  f ,warn,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: org.apache.hadoop.io.MD5Hash receiveFile(java.lang.String,java.util.List,org.apache.hadoop.hdfs.server.common.Storage,boolean,long,org.apache.hadoop.io.MD5Hash,java.lang.String,java.io.InputStream,org.apache.hadoop.hdfs.util.DataTransferThrottler)>"
Downloaded file  <*>  size  <*>  bytes. ,info,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: org.apache.hadoop.io.MD5Hash handleUploadImageRequest(javax.servlet.http.HttpServletRequest,long,org.apache.hadoop.hdfs.server.common.Storage,java.io.InputStream,long,org.apache.hadoop.hdfs.util.DataTransferThrottler)>"
Opening connection to  <*> ,info,"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: org.apache.hadoop.io.MD5Hash getFileClient(java.net.URL,java.lang.String,java.util.List,org.apache.hadoop.hdfs.server.common.Storage,boolean)>"
