Log,LoggingLevel,Method
Error executing interceptor onAcknowledgement callback,warn,"<org.apache.kafka.clients.producer.internals.ProducerInterceptors: void onSendError(org.apache.kafka.clients.producer.ProducerRecord,org.apache.kafka.common.TopicPartition,java.lang.Exception)>"
Entering KafkaClient#poll(timeout={}),trace,<org.apache.kafka.clients.admin.KafkaAdminClient$AdminClientRunnable: void processRequests()>
KafkaClient#poll retrieved {} response(s),trace,<org.apache.kafka.clients.admin.KafkaAdminClient$AdminClientRunnable: void processRequests()>
Authentication exception while processing transactional request,trace,<org.apache.kafka.clients.producer.internals.Sender: void runOnce()>
`OffsetDelete` request for group id {} failed due to error {}.,debug,"<org.apache.kafka.clients.admin.internals.DeleteConsumerGroupOffsetsHandler: void handleGroupError(org.apache.kafka.clients.admin.internals.CoordinatorKey,org.apache.kafka.common.protocol.Errors,java.util.Map,java.util.Set)>"
`OffsetDelete` request for group id {} failed because the coordinator is still in the process of loading state. Will retry.,debug,"<org.apache.kafka.clients.admin.internals.DeleteConsumerGroupOffsetsHandler: void handleGroupError(org.apache.kafka.clients.admin.internals.CoordinatorKey,org.apache.kafka.common.protocol.Errors,java.util.Map,java.util.Set)>"
`OffsetDelete` request for group id {} returned error {}. Will attempt to find the coordinator again and retry.,debug,"<org.apache.kafka.clients.admin.internals.DeleteConsumerGroupOffsetsHandler: void handleGroupError(org.apache.kafka.clients.admin.internals.CoordinatorKey,org.apache.kafka.common.protocol.Errors,java.util.Map,java.util.Set)>"
`OffsetDelete` request for group id {} failed due to unexpected error {}.,error,"<org.apache.kafka.clients.admin.internals.DeleteConsumerGroupOffsetsHandler: void handleGroupError(org.apache.kafka.clients.admin.internals.CoordinatorKey,org.apache.kafka.common.protocol.Errors,java.util.Map,java.util.Set)>"
"SecurityPropertyModification: key:{}, value:{}",fine,"<jdk.internal.event.EventHelper: void logSecurityPropertyEvent(java.lang.String,java.lang.String)>"
released buffer of size {} and identity {},trace,<org.apache.kafka.common.memory.GarbageCollectedMemoryPool: void bufferToBeReleased(java.nio.ByteBuffer)>
Connection to node {} is throttled for {} ms until timestamp {},trace,"<org.apache.kafka.clients.NetworkClient: void maybeThrottle(org.apache.kafka.common.requests.AbstractResponse,short,java.lang.String,long)>"
Still waiting for metadata,warn,"<org.apache.kafka.clients.consumer.KafkaConsumer: org.apache.kafka.clients.consumer.ConsumerRecords poll(org.apache.kafka.common.utils.Timer,boolean)>"
Returning empty records from `poll()` since the consumer\'s position has advanced for at least one topic partition,trace,"<org.apache.kafka.clients.consumer.KafkaConsumer: org.apache.kafka.clients.consumer.ConsumerRecords poll(org.apache.kafka.common.utils.Timer,boolean)>"
Caught fenced group.instance.id {} error in heartbeat thread,error,<org.apache.kafka.clients.consumer.internals.AbstractCoordinator$HeartbeatThread$1: void onFailure(java.lang.RuntimeException)>
last_contained_log_timestamp,<init>,<org.apache.kafka.common.message.SnapshotHeaderRecord: void <clinit>()>
Metadata update failed due to authentication error,warn,<org.apache.kafka.clients.admin.internals.AdminMetadataManager: void updateFailed(java.lang.Throwable)>
Metadata update failed,info,<org.apache.kafka.clients.admin.internals.AdminMetadataManager: void updateFailed(java.lang.Throwable)>
ALTER_REPLICA_LOG_DIRS,<init>,<org.apache.kafka.common.protocol.ApiKeys: void <clinit>()>
DESCRIBE_LOG_DIRS,<init>,<org.apache.kafka.common.protocol.ApiKeys: void <clinit>()>
Principal={}: Interrupted while waiting for re-login thread to shutdown.,warn,<org.apache.kafka.common.security.oauthbearer.internals.expiring.ExpiringCredentialRefreshingLogin: void close()>
"connections.max.idle.ms, ",<init>,"<org.apache.kafka.clients.producer.KafkaProducer: org.apache.kafka.clients.producer.internals.Sender newSender(org.apache.kafka.common.utils.LogContext,org.apache.kafka.clients.KafkaClient,org.apache.kafka.clients.producer.internals.ProducerMetadata)>"
handshakeWrapAfterFailure status {} doWrite {},trace,<org.apache.kafka.common.network.SslTransportLayer: boolean handshakeWrapAfterFailure(boolean)>
Failed to wrap and flush all bytes before closing channel,debug,<org.apache.kafka.common.network.SslTransportLayer: boolean handshakeWrapAfterFailure(boolean)>
Interrupted while reading the error stream,warn,<org.apache.kafka.common.utils.Shell: void runCommand()>
Error while closing the input stream,warn,<org.apache.kafka.common.utils.Shell: void runCommand()>
Error while closing the error stream,warn,<org.apache.kafka.common.utils.Shell: void runCommand()>
Error while closing the input stream,warn,<org.apache.kafka.common.utils.Shell: void runCommand()>
Error while closing the error stream,warn,<org.apache.kafka.common.utils.Shell: void runCommand()>
Metadata request for partition {} returned partition-level error {}. Will retry,debug,"<org.apache.kafka.clients.admin.internals.PartitionLeaderStrategy: void handlePartitionError(org.apache.kafka.common.TopicPartition,org.apache.kafka.common.protocol.Errors,java.util.Map)>"
Received unexpected error for partition {} in `Metadata` response,error,"<org.apache.kafka.clients.admin.internals.PartitionLeaderStrategy: void handlePartitionError(org.apache.kafka.common.TopicPartition,org.apache.kafka.common.protocol.Errors,java.util.Map)>"
Failed to close {} with type {},warn,"<org.apache.kafka.common.utils.Utils: void closeQuietly(java.lang.AutoCloseable,java.lang.String)>"
Node disconnected before response could be received for request {}. Will attempt retry,debug,"<org.apache.kafka.clients.admin.internals.AdminApiDriver: void onFailure(long,org.apache.kafka.clients.admin.internals.AdminApiDriver$RequestSpec,java.lang.Throwable)>"
Resuming partitions {},debug,<org.apache.kafka.clients.consumer.KafkaConsumer: void resume(java.util.Collection)>
released buffer of size {},trace,<org.apache.kafka.common.memory.SimpleMemoryPool: void bufferToBeReleased(java.nio.ByteBuffer)>
Flushing accumulated records in producer.,trace,<org.apache.kafka.clients.producer.KafkaProducer: void flush()>
Starting Kafka producer I/O thread.,debug,<org.apache.kafka.clients.producer.internals.Sender: void run()>
Uncaught error in kafka producer I/O thread: ,error,<org.apache.kafka.clients.producer.internals.Sender: void run()>
"Beginning shutdown of Kafka producer I/O thread, sending remaining records.",debug,<org.apache.kafka.clients.producer.internals.Sender: void run()>
Uncaught error in kafka producer I/O thread: ,error,<org.apache.kafka.clients.producer.internals.Sender: void run()>
Aborting incomplete transaction due to shutdown,info,<org.apache.kafka.clients.producer.internals.Sender: void run()>
Uncaught error in kafka producer I/O thread: ,error,<org.apache.kafka.clients.producer.internals.Sender: void run()>
Aborting incomplete transactional requests due to forced shutdown,debug,<org.apache.kafka.clients.producer.internals.Sender: void run()>
Aborting incomplete batches due to forced shutdown,debug,<org.apache.kafka.clients.producer.internals.Sender: void run()>
Failed to close network client,error,<org.apache.kafka.clients.producer.internals.Sender: void run()>
Shutdown of Kafka producer I/O thread has completed.,debug,<org.apache.kafka.clients.producer.internals.Sender: void run()>
,<init>,<org.apache.kafka.common.security.oauthbearer.internals.expiring.ExpiringCredentialRefreshingLogin$LoginContextFactory: javax.security.auth.login.LoginContext createLoginContext(org.apache.kafka.common.security.oauthbearer.internals.expiring.ExpiringCredentialRefreshingLogin)>
,<init>,"<org.apache.kafka.clients.admin.KafkaAdminClient: org.apache.kafka.clients.admin.DescribeConsumerGroupsResult describeConsumerGroups(java.util.Collection,org.apache.kafka.clients.admin.DescribeConsumerGroupsOptions)>"
Timed out {} pending calls.,debug,<org.apache.kafka.clients.admin.KafkaAdminClient$AdminClientRunnable: void timeoutPendingCalls(org.apache.kafka.clients.admin.KafkaAdminClient$TimeoutProcessor)>
Client requested connection close from node {},info,<org.apache.kafka.clients.NetworkClient: void close(java.lang.String)>
topics,<init>,<org.apache.kafka.common.message.DescribeLogDirsRequestData: void <clinit>()>
topics,<init>,<org.apache.kafka.common.message.DescribeLogDirsRequestData: void <clinit>()>
A cycle of length {} was found: {},error,<org.apache.kafka.clients.consumer.internals.AbstractStickyAssignor$PartitionMovements: boolean hasCycles(java.util.Set)>
,<init>,<org.apache.kafka.clients.admin.DescribeLogDirsResult: org.apache.kafka.common.requests.DescribeLogDirsResponse$ReplicaInfo lambda$null$2(java.util.Map$Entry)>
Revoke previously assigned partitions {},info,<org.apache.kafka.clients.consumer.internals.ConsumerCoordinator: java.lang.Exception invokePartitionsRevoked(java.util.SortedSet)>
The pause flag in partitions {} will be removed due to revocation.,info,<org.apache.kafka.clients.consumer.internals.ConsumerCoordinator: java.lang.Exception invokePartitionsRevoked(java.util.SortedSet)>
User provided listener {} failed on invocation of onPartitionsRevoked for partitions {},error,<org.apache.kafka.clients.consumer.internals.ConsumerCoordinator: java.lang.Exception invokePartitionsRevoked(java.util.SortedSet)>
The configuration \'{}\' was supplied but isn\'t a known config.,warn,<org.apache.kafka.common.config.AbstractConfig: void logUnused()>
Topic metadata fetch included errors: {},debug,"<org.apache.kafka.clients.consumer.internals.Fetcher: java.util.Map getTopicMetadata(org.apache.kafka.common.requests.MetadataRequest$Builder,org.apache.kafka.common.utils.Timer)>"
Instantiated a transactional producer.,info,"<org.apache.kafka.clients.producer.KafkaProducer: org.apache.kafka.clients.producer.internals.TransactionManager configureTransactionState(org.apache.kafka.clients.producer.ProducerConfig,org.apache.kafka.common.utils.LogContext)>"
Instantiated an idempotent producer.,info,"<org.apache.kafka.clients.producer.KafkaProducer: org.apache.kafka.clients.producer.internals.TransactionManager configureTransactionState(org.apache.kafka.clients.producer.ProducerConfig,org.apache.kafka.common.utils.LogContext)>"
Initiating logout for {},info,<org.apache.kafka.common.security.oauthbearer.internals.expiring.ExpiringCredentialRefreshingLogin: void reLogin()>
"Initiating re-login for {}, logout() still needs to be called on a previous login = {}",info,<org.apache.kafka.common.security.oauthbearer.internals.expiring.ExpiringCredentialRefreshingLogin: void reLogin()>
No Expiring Credential after a supposedly-successful re-login,error,<org.apache.kafka.common.security.oauthbearer.internals.expiring.ExpiringCredentialRefreshingLogin: void reLogin()>
Principal={}: It is an expiring credential after re-login as expected,debug,<org.apache.kafka.common.security.oauthbearer.internals.expiring.ExpiringCredentialRefreshingLogin: void reLogin()>
Server response mentioned unknown topic partition {},warn,<org.apache.kafka.clients.admin.KafkaAdminClient$28: void handleResponse(org.apache.kafka.common.requests.AbstractResponse)>
Setting SASL/{} client state to {},debug,<org.apache.kafka.common.security.scram.internals.ScramSaslClient: void setState(org.apache.kafka.common.security.scram.internals.ScramSaslClient$State)>
Not returning fetched records for partition {} since it is no longer assigned,debug,"<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetch fetchRecords(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch,int)>"
Not returning fetched records for assigned partition {} since it is no longer fetchable,debug,"<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetch fetchRecords(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch,int)>"
Returning {} fetched records at offset {} for assigned partition {},trace,"<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetch fetchRecords(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch,int)>"
Updating fetch position from {} to {} for partition {} and returning {} records from `poll()`,trace,"<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetch fetchRecords(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch,int)>"
Ignoring fetched records for {} at offset {} since the current position is {},debug,"<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetch fetchRecords(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch,int)>"
Draining fetched records for partition {},trace,"<org.apache.kafka.clients.consumer.internals.Fetcher: org.apache.kafka.clients.consumer.internals.Fetch fetchRecords(org.apache.kafka.clients.consumer.internals.Fetcher$CompletedFetch,int)>"
Set SASL server state to {} during {},debug,"<org.apache.kafka.common.security.authenticator.SaslServerAuthenticator: void setSaslState(org.apache.kafka.common.security.authenticator.SaslServerAuthenticator$SaslState,org.apache.kafka.common.errors.AuthenticationException)>"
Aborting incomplete transaction,info,<org.apache.kafka.clients.producer.KafkaProducer: void abortTransaction()>
Tracking closing connection {} to process outstanding requests,debug,"<org.apache.kafka.common.network.Selector: void close(org.apache.kafka.common.network.KafkaChannel,org.apache.kafka.common.network.Selector$CloseMode)>"
Record batch from {} with last offset {} exceeded max record batch size {} after cleaning (new size is {}). Consumers with version earlier than ... may need to increase their fetch sizes.,warn,"<org.apache.kafka.common.record.MemoryRecords: org.apache.kafka.common.record.MemoryRecords$FilterResult filterTo(org.apache.kafka.common.TopicPartition,java.lang.Iterable,org.apache.kafka.common.record.MemoryRecords$RecordFilter,java.nio.ByteBuffer,int,org.apache.kafka.common.utils.BufferSupplier)>"
Server response mentioned unknown topic {},warn,<org.apache.kafka.clients.admin.KafkaAdminClient$1: void handleResponse(org.apache.kafka.common.requests.AbstractResponse)>
Creating SaslServer for {} with mechanism {},debug,"<org.apache.kafka.common.security.authenticator.SaslServerAuthenticator: javax.security.sasl.SaslServer createSaslKerberosServer(org.apache.kafka.common.security.auth.AuthenticateCallbackHandler,java.util.Map,javax.security.auth.Subject)>"
Asynchronous auto-commit of offsets {} failed due to retriable error: {},debug,"<org.apache.kafka.clients.consumer.internals.ConsumerCoordinator: void lambda$autoCommitOffsetsAsync$2(java.util.Map,java.lang.Exception)>"
Asynchronous auto-commit of offsets {} failed: {},warn,"<org.apache.kafka.clients.consumer.internals.ConsumerCoordinator: void lambda$autoCommitOffsetsAsync$2(java.util.Map,java.lang.Exception)>"
Completed asynchronous auto-commit of offsets {},debug,"<org.apache.kafka.clients.consumer.internals.ConsumerCoordinator: void lambda$autoCommitOffsetsAsync$2(java.util.Map,java.lang.Exception)>"
Refreshing JWKs from {} as no suitable verification key for JWS w/ header {} was found in {},debug,"<org.apache.kafka.common.security.oauthbearer.secured.RefreshingHttpsJwksVerificationKeyResolver: java.security.Key resolveKey(org.jose4j.jws.JsonWebSignature,java.util.List)>"
Principal={}: TGT refresh thread started.,info,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
Principal={}: No TGT found: will try again at {},warn,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
"The TGT cannot be renewed beyond the next expiry date: {}.This process will not be able to authenticate new SASL connections after that time (for example, it will not be able to authenticate a new connection with a Kafka Broker).  Ask your system administrator to either increase the \'renew until\' time by doing : \'modprinc -maxrenewlife {} \' within kadmin, or instead, to generate a keytab for {}. Because the TGT\'s expiry cannot be further extended by refreshing, exiting refresh thread now.",warn,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
Principal={}: Refreshing now because expiry is before next scheduled refresh time.,info,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
Principal={}: TGT refresh thread time adjusted from {} to {} since the former is sooner than the minimum refresh interval ({} seconds) from now.,warn,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
Principal={}: Next refresh: {} is later than expiry {}. This may indicate a clock skew problem.Check that this host and the KDC hosts\' clocks are in sync. Exiting refresh thread.,error,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
Principal={}: TGT refresh sleeping until: {},info,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
Principal={}: TGT renewal thread has been interrupted and will exit.,warn,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
Principal={}: NextRefresh: {} is in the past: exiting refresh thread. Check clock sync between this host and KDC - (KDC\'s clock is likely ahead of this host). Manual intervention will be required for this client to successfully authenticate. Exiting refresh thread.,error,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
Principal={}: Running ticket cache refresh command: {} {},debug,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
"Principal={}: Error when trying to renew with TicketCache, but will retry ",warn,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
"Principal={}: Interrupted while renewing TGT, exiting Login thread",error,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
Principal={}: Could not renew TGT due to problem running shell command: \'{} {}\'. Exiting refresh thread.,warn,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
"Principal={}: Error when trying to re-Login, but will retry ",warn,<org.apache.kafka.common.security.kerberos.KerberosLogin: void lambda$login$0()>
