Log,LoggingLevel,Method
"Connected to , <*>, ",info,"<org.apache.hadoop.ha.SshFenceByTcpPort: boolean tryFence(org.apache.hadoop.ha.HAServiceTarget,java.lang.String)>"
Unable to achieve fencing on remote host,warn,"<org.apache.hadoop.ha.SshFenceByTcpPort: boolean tryFence(org.apache.hadoop.ha.HAServiceTarget,java.lang.String)>"
"add to , mapName, map:, <*>,  id:, <*>, ",debug,"<org.apache.hadoop.security.ShellBasedIdMapping: void updateMapInternal(com.google.common.collect.BiMap,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>"
"Updated , mapName,  map size: , <*>, ",info,"<org.apache.hadoop.security.ShellBasedIdMapping: void updateMapInternal(com.google.common.collect.BiMap,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>"
Can\'t close BufferedReader of command result,error,"<org.apache.hadoop.security.ShellBasedIdMapping: void updateMapInternal(com.google.common.collect.BiMap,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>"
"Can\'t update , mapName,  map, ",error,"<org.apache.hadoop.security.ShellBasedIdMapping: void updateMapInternal(com.google.common.collect.BiMap,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>"
Can\'t close BufferedReader of command result,error,"<org.apache.hadoop.security.ShellBasedIdMapping: void updateMapInternal(com.google.common.collect.BiMap,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>"
No login principals found!,<init>,"<org.apache.hadoop.security.UserGroupInformation: org.apache.hadoop.security.UserGroupInformation getUGIFromTicketCache(java.lang.String,java.lang.String)>"
"found more than one principal in the ticket cache file , ticketCache, ",warn,"<org.apache.hadoop.security.UserGroupInformation: org.apache.hadoop.security.UserGroupInformation getUGIFromTicketCache(java.lang.String,java.lang.String)>"
"Adding a new node: , <*>, ",info,<org.apache.hadoop.net.NetworkTopologyWithNodeGroup: void add(org.apache.hadoop.net.Node)>
"NetworkTopology became:\n, <*>, ",debug,<org.apache.hadoop.net.NetworkTopologyWithNodeGroup: void add(org.apache.hadoop.net.Node)>
"Received SASL message , <*>, ",debug,"<org.apache.hadoop.security.SaslRpcClient: org.apache.hadoop.security.SaslRpcServer$AuthMethod saslConnect(java.io.InputStream,java.io.OutputStream)>"
"SASL server GSSAPI callback: setting canonicalized client ID: , <*>, ",debug,<org.apache.hadoop.security.SaslRpcServer$SaslGssCallbackHandler: void handle(javax.security.auth.callback.Callback[])>
"Regular expression \', <*>, \' for property \', name, \' not valid. Using default, ",warn,"<org.apache.hadoop.conf.Configuration: java.util.regex.Pattern getPattern(java.lang.String,java.util.regex.Pattern)>"
interrupted waiting to send rpc request to server,warn,"<org.apache.hadoop.ipc.Client: org.apache.hadoop.io.Writable call(org.apache.hadoop.ipc.RPC$RpcKind,org.apache.hadoop.io.Writable,org.apache.hadoop.ipc.Client$ConnectionId,int,java.util.concurrent.atomic.AtomicBoolean)>"
"Illegal value: there is no element in \, s, \., ",warn,<org.apache.hadoop.io.retry.RetryPolicies$MultipleLinearRandomRetry: org.apache.hadoop.io.retry.RetryPolicies$MultipleLinearRandomRetry parseCommaSeparatedString(java.lang.String)>
"Illegal value: the number of elements in \, s, \ is , <*>,  but an even number of elements is expected., ",warn,<org.apache.hadoop.io.retry.RetryPolicies$MultipleLinearRandomRetry: org.apache.hadoop.io.retry.RetryPolicies$MultipleLinearRandomRetry parseCommaSeparatedString(java.lang.String)>
"Unexpected data length , dataLength, !! from , <*>, ",warn,<org.apache.hadoop.ipc.Server$Connection: void checkDataLength(int)>
"Requested data length , dataLength,  is longer than maximum configured RPC length , <*>, .  RPC came from , <*>, ",warn,<org.apache.hadoop.ipc.Server$Connection: void checkDataLength(int)>
shutdown error: ,error,<org.apache.hadoop.net.unix.DomainSocket: void close()>
"pushMetric failed for , <*>, \n, ",info,<org.apache.hadoop.metrics.util.MetricsIntValue: void pushMetric(org.apache.hadoop.metrics.MetricsRecord)>
"Creating password for identifier: , identifier, , currentKey: , <*>, ",info,<org.apache.hadoop.security.token.delegation.AbstractDelegationTokenSecretManager: byte[] createPassword(org.apache.hadoop.security.token.delegation.AbstractDelegationTokenIdentifier)>
Could not store token !!,error,<org.apache.hadoop.security.token.delegation.AbstractDelegationTokenSecretManager: byte[] createPassword(org.apache.hadoop.security.token.delegation.AbstractDelegationTokenIdentifier)>
"Cannot initialize JVM Metrics with processName=, processName, , sessionId=, sessionId,  - already initialized, ",info,"<org.apache.hadoop.metrics.jvm.JvmMetrics: org.apache.hadoop.metrics.jvm.JvmMetrics init(java.lang.String,java.lang.String,java.lang.String)>"
"Initializing JVM Metrics with processName=, processName, , sessionId=, sessionId, ",info,"<org.apache.hadoop.metrics.jvm.JvmMetrics: org.apache.hadoop.metrics.jvm.JvmMetrics init(java.lang.String,java.lang.String,java.lang.String)>"
"multipleLinearRandomRetry = , <*>, ",debug,"<org.apache.hadoop.io.retry.RetryUtils: org.apache.hadoop.io.retry.RetryPolicy getDefaultRetryPolicy(org.apache.hadoop.conf.Configuration,java.lang.String,boolean,java.lang.String,java.lang.String,java.lang.Class)>"
"Can\'t find user name for uid , uid, . Use default user name , unknown, ",warn,"<org.apache.hadoop.security.ShellBasedIdMapping: java.lang.String getUserName(int,java.lang.String)>"
Received ping message,debug,"<org.apache.hadoop.ipc.Server$Connection: void processRpcOutOfBandRequest(org.apache.hadoop.ipc.protobuf.RpcHeaderProtos$RpcRequestHeaderProto,java.io.DataInputStream)>"
"Cannot find class for token kind , kind, ",warn,<org.apache.hadoop.security.token.Token: java.lang.Class getClassForIdentifier(org.apache.hadoop.io.Text)>
Encountered exception ,warn,<org.apache.hadoop.fs.HarFileSystem$HarMetaData: void parseMetaData()>
"<*>,  metrics system already started!, ",warn,<org.apache.hadoop.metrics2.impl.MetricsSystemImpl: void start()>
"<*>,  metrics system started, ",info,<org.apache.hadoop.metrics2.impl.MetricsSystemImpl: void start()>
"wrapping token of length:, len, ",debug,"<org.apache.hadoop.security.SaslRpcClient$WrappedOutputStream: void write(byte[],int,int)>"
"Error invoking method , <*>, ",error,"<org.apache.hadoop.metrics2.lib.MethodMetric$1: void snapshot(org.apache.hadoop.metrics2.MetricsRecordBuilder,boolean)>"
"Entering neutral mode for , this, ",debug,<org.apache.hadoop.ha.ActiveStandbyElector: void enterNeutralMode()>
"Get token info proto:, <*>,  info:, <*>, ",debug,<org.apache.hadoop.security.SaslRpcClient: org.apache.hadoop.security.token.Token getServerToken(org.apache.hadoop.ipc.protobuf.RpcHeaderProtos$RpcSaslProto$SaslAuth)>
"Removing ZKDTSMDelegationToken_, <*>, ",debug,<org.apache.hadoop.security.token.delegation.ZKDelegationTokenSecretManager: void removeStoredToken(org.apache.hadoop.security.token.delegation.AbstractDelegationTokenIdentifier)>
"Attempted to remove a non-existing znode , <*>, ",debug,<org.apache.hadoop.security.token.delegation.ZKDelegationTokenSecretManager: void removeStoredToken(org.apache.hadoop.security.token.delegation.AbstractDelegationTokenIdentifier)>
does not have a token for renewal,error,<org.apache.hadoop.fs.DelegationTokenRenewer: org.apache.hadoop.fs.DelegationTokenRenewer$RenewAction addRenewAction(org.apache.hadoop.fs.FileSystem)>
====== Beginning Service Fencing Process... ======,info,<org.apache.hadoop.ha.NodeFencer: boolean fence(org.apache.hadoop.ha.HAServiceTarget)>
"Trying method , i_, /, <*>, : , method, ",info,<org.apache.hadoop.ha.NodeFencer: boolean fence(org.apache.hadoop.ha.HAServiceTarget)>
"====== Fencing successful by method , method,  ======, ",info,<org.apache.hadoop.ha.NodeFencer: boolean fence(org.apache.hadoop.ha.HAServiceTarget)>
"Fencing method , method,  misconfigured, ",error,<org.apache.hadoop.ha.NodeFencer: boolean fence(org.apache.hadoop.ha.HAServiceTarget)>
"Fencing method , method,  failed with an unexpected error., ",error,<org.apache.hadoop.ha.NodeFencer: boolean fence(org.apache.hadoop.ha.HAServiceTarget)>
"Fencing method , method,  was unsuccessful., ",warn,<org.apache.hadoop.ha.NodeFencer: boolean fence(org.apache.hadoop.ha.HAServiceTarget)>
Unable to fence service by any configured method.,error,<org.apache.hadoop.ha.NodeFencer: boolean fence(org.apache.hadoop.ha.HAServiceTarget)>
"Can\'t map user , user, . Use its string hashcode:, <*>, ",info,<org.apache.hadoop.security.ShellBasedIdMapping: int getUidAllowingUnknown(java.lang.String)>
"Loading class: , name, ",debug,"<org.apache.hadoop.util.ApplicationClassLoader: java.lang.Class loadClass(java.lang.String,boolean)>"
"Loaded class: , name,  , ",debug,"<org.apache.hadoop.util.ApplicationClassLoader: java.lang.Class loadClass(java.lang.String,boolean)>"
"Loaded class from parent: , name,  , ",debug,"<org.apache.hadoop.util.ApplicationClassLoader: java.lang.Class loadClass(java.lang.String,boolean)>"
"Error: can\'t add leaf node , <*>,  at depth , newDepth,  to topology:\n, <*>, ",error,<org.apache.hadoop.net.NetworkTopology: void add(org.apache.hadoop.net.Node)>
"Failed to add , <*>, : You cannot have a rack and a non-rack node at the same , level of the network topology., ",<init>,<org.apache.hadoop.net.NetworkTopology: void add(org.apache.hadoop.net.Node)>
"Adding a new node: , <*>, ",info,<org.apache.hadoop.net.NetworkTopology: void add(org.apache.hadoop.net.Node)>
"NetworkTopology became:\n, <*>, ",debug,<org.apache.hadoop.net.NetworkTopology: void add(org.apache.hadoop.net.Node)>
,warn,<org.apache.hadoop.io.compress.lz4.Lz4Compressor: void <clinit>()>
"Cannot load , <*>,  without native hadoop library!, ",error,<org.apache.hadoop.io.compress.lz4.Lz4Compressor: void <clinit>()>
The server is stopped.,warn,<org.apache.hadoop.conf.ReconfigurableBase: void startReconfigurationTask()>
Another reconfiguration task is running.,warn,<org.apache.hadoop.conf.ReconfigurableBase: void startReconfigurationTask()>
"Initialized , <*>, ",debug,"<org.apache.hadoop.ipc.metrics.RpcMetrics: void <init>(org.apache.hadoop.ipc.Server,org.apache.hadoop.conf.Configuration)>"
"Got brand-new compressor , <*>, , ",info,"<org.apache.hadoop.io.compress.CodecPool: org.apache.hadoop.io.compress.Compressor getCompressor(org.apache.hadoop.io.compress.CompressionCodec,org.apache.hadoop.conf.Configuration)>"
Got recycled compressor,debug,"<org.apache.hadoop.io.compress.CodecPool: org.apache.hadoop.io.compress.Compressor getCompressor(org.apache.hadoop.io.compress.CompressionCodec,org.apache.hadoop.conf.Configuration)>"
"Entry to state , <*>,  for , <*>, ",info,<org.apache.hadoop.service.LoggingStateChangeListener: void stateChanged(org.apache.hadoop.service.Service)>
"IdentityProvider not specified, defaulting to UserIdentityProvider",info,"<org.apache.hadoop.ipc.DecayRpcScheduler: org.apache.hadoop.ipc.IdentityProvider parseIdentityProvider(java.lang.String,org.apache.hadoop.conf.Configuration)>"
Shutting down all AsyncDiskService threads...,info,<org.apache.hadoop.util.AsyncDiskService: void shutdown()>
Metric was emitted with no name.,warn,"<org.apache.hadoop.metrics2.sink.ganglia.GangliaSink31: void emitMetric(java.lang.String,java.lang.String,java.lang.String,java.lang.String,org.apache.hadoop.metrics2.sink.ganglia.GangliaConf,org.apache.hadoop.metrics2.sink.ganglia.AbstractGangliaSink$GangliaSlope)>"
"Metric name , name,  was emitted with a null value., ",warn,"<org.apache.hadoop.metrics2.sink.ganglia.GangliaSink31: void emitMetric(java.lang.String,java.lang.String,java.lang.String,java.lang.String,org.apache.hadoop.metrics2.sink.ganglia.GangliaConf,org.apache.hadoop.metrics2.sink.ganglia.AbstractGangliaSink$GangliaSlope)>"
"Metric name , name, , value , value,  has no type., ",warn,"<org.apache.hadoop.metrics2.sink.ganglia.GangliaSink31: void emitMetric(java.lang.String,java.lang.String,java.lang.String,java.lang.String,org.apache.hadoop.metrics2.sink.ganglia.GangliaConf,org.apache.hadoop.metrics2.sink.ganglia.AbstractGangliaSink$GangliaSlope)>"
"Emitting metric , name, , type , type, , value , value, , slope , <*>,  from hostname , <*>, ",debug,"<org.apache.hadoop.metrics2.sink.ganglia.GangliaSink31: void emitMetric(java.lang.String,java.lang.String,java.lang.String,java.lang.String,org.apache.hadoop.metrics2.sink.ganglia.GangliaConf,org.apache.hadoop.metrics2.sink.ganglia.AbstractGangliaSink$GangliaSlope)>"
Error,debug,<org.apache.hadoop.fs.FsShell: int run(java.lang.String[])>
null file argument.,warn,"<org.apache.hadoop.fs.FileUtil: boolean deleteImpl(java.io.File,boolean)>"
"Failed to delete file or dir , <*>, : it still exists., ",warn,"<org.apache.hadoop.fs.FileUtil: boolean deleteImpl(java.io.File,boolean)>"
Reinit compressor with new compression configuration,debug,<org.apache.hadoop.io.compress.zlib.ZlibCompressor: void reinit(org.apache.hadoop.conf.Configuration)>
"Service , <*>,  is started, ",debug,<org.apache.hadoop.service.AbstractService: void start()>
"getting attribute , <*>,  of , oname,  threw an exception, ",debug,"<org.apache.hadoop.jmx.JMXJsonServlet: void writeAttribute(org.codehaus.jackson.JsonGenerator,javax.management.ObjectName,javax.management.MBeanAttributeInfo)>"
"getting attribute , <*>,  of , oname,  threw an exception, ",error,"<org.apache.hadoop.jmx.JMXJsonServlet: void writeAttribute(org.codehaus.jackson.JsonGenerator,javax.management.ObjectName,javax.management.MBeanAttributeInfo)>"
"getting attribute , <*>,  of , oname,  threw an exception, ",debug,"<org.apache.hadoop.jmx.JMXJsonServlet: void writeAttribute(org.codehaus.jackson.JsonGenerator,javax.management.ObjectName,javax.management.MBeanAttributeInfo)>"
"getting attribute , <*>,  of , oname,  threw an exception, ",error,"<org.apache.hadoop.jmx.JMXJsonServlet: void writeAttribute(org.codehaus.jackson.JsonGenerator,javax.management.ObjectName,javax.management.MBeanAttributeInfo)>"
"getting attribute , <*>,  of , oname,  threw an exception, ",error,"<org.apache.hadoop.jmx.JMXJsonServlet: void writeAttribute(org.codehaus.jackson.JsonGenerator,javax.management.ObjectName,javax.management.MBeanAttributeInfo)>"
"getting attribute , <*>,  of , oname,  threw an exception, ",error,"<org.apache.hadoop.jmx.JMXJsonServlet: void writeAttribute(org.codehaus.jackson.JsonGenerator,javax.management.ObjectName,javax.management.MBeanAttributeInfo)>"
"Null token ignored for , alias, ",warn,"<org.apache.hadoop.security.Credentials: void addToken(org.apache.hadoop.io.Text,org.apache.hadoop.security.token.Token)>"
"<*>, : , <*>, ",error,"<org.apache.hadoop.ha.FailoverController: void preFailoverChecks(org.apache.hadoop.ha.HAServiceTarget,org.apache.hadoop.ha.HAServiceTarget,boolean)>"
"Service is not ready to become active, but forcing: , <*>, ",warn,"<org.apache.hadoop.ha.FailoverController: void preFailoverChecks(org.apache.hadoop.ha.HAServiceTarget,org.apache.hadoop.ha.HAServiceTarget,boolean)>"
"Current time is , <*>, ",debug,<org.apache.hadoop.security.UserGroupInformation$1: void run()>
"Next refresh is , nextRefresh_, ",debug,<org.apache.hadoop.security.UserGroupInformation$1: void run()>
renewed ticket,debug,<org.apache.hadoop.security.UserGroupInformation$1: void run()>
"No TGT after renewal. Aborting renew thread for , <*>, ",warn,<org.apache.hadoop.security.UserGroupInformation$1: void run()>
Terminating renewal thread,warn,<org.apache.hadoop.security.UserGroupInformation$1: void run()>
"Exception encountered while running the renewal command. Aborting renew thread. , <*>, ",warn,<org.apache.hadoop.security.UserGroupInformation$1: void run()>
"Unregistering , mbeanName, ",debug,<org.apache.hadoop.metrics2.util.MBeans: void unregister(javax.management.ObjectName)>
Stacktrace: ,debug,<org.apache.hadoop.metrics2.util.MBeans: void unregister(javax.management.ObjectName)>
"Error unregistering , mbeanName, ",warn,<org.apache.hadoop.metrics2.util.MBeans: void unregister(javax.management.ObjectName)>
"http://, <*>, /logLevel?log=, <*>, ",process,<org.apache.hadoop.log.LogLevel: void main(java.lang.String[])>
"http://, <*>, /logLevel?log=, <*>, &level=, <*>, ",process,<org.apache.hadoop.log.LogLevel: void main(java.lang.String[])>
