Log,LoggingLevel,Method
Finished to build heap keyed state-backend.,info,"<org.apache.flink.runtime.state.heap.HeapKeyedStateBackendBuilder: void restoreState(java.util.Map,java.util.Map,org.apache.flink.runtime.state.heap.InternalKeyContext,org.apache.flink.runtime.state.heap.StateTableFactory)>"
Start registering input and output.,debug,<org.apache.flink.runtime.operators.BatchTask: void invoke()>
Finished registering input and output.,debug,<org.apache.flink.runtime.operators.BatchTask: void invoke()>
Start task code.,debug,<org.apache.flink.runtime.operators.BatchTask: void invoke()>
Task cancelled before task code was started.,debug,<org.apache.flink.runtime.operators.BatchTask: void invoke()>
Finished task code.,debug,<org.apache.flink.runtime.operators.BatchTask: void invoke()>
Task code cancelled.,debug,<org.apache.flink.runtime.operators.BatchTask: void invoke()>
Shutting down,info,"<org.apache.flink.runtime.checkpoint.DefaultCompletedCheckpointStore: void shutdown(org.apache.flink.api.common.JobStatus,org.apache.flink.runtime.checkpoint.CheckpointsCleaner)>"
Fail to remove checkpoint during shutdown.,warn,"<org.apache.flink.runtime.checkpoint.DefaultCompletedCheckpointStore: void shutdown(org.apache.flink.api.common.JobStatus,org.apache.flink.runtime.checkpoint.CheckpointsCleaner)>"
Suspending,info,"<org.apache.flink.runtime.checkpoint.DefaultCompletedCheckpointStore: void shutdown(org.apache.flink.api.common.JobStatus,org.apache.flink.runtime.checkpoint.CheckpointsCleaner)>"
Unknown message received: <*>,warn,"<org.apache.flink.runtime.rest.handler.PipelineErrorHandler: void channelRead0(org.apache.flink.shaded.netty4.io.netty.channel.ChannelHandlerContext,org.apache.flink.shaded.netty4.io.netty.handler.codec.http.HttpRequest)>"
Managed memory consumer weight for <*> is configured to . Jobs containing this type of managed memory consumers may fail due to not being able to allocate managed memory.,debug,<org.apache.flink.runtime.util.config.memory.ManagedMemoryUtils: java.util.Map getManagedMemoryUseCaseWeightsFromConfig(org.apache.flink.configuration.Configuration)>
Managed memory consumer weight for <*> is not configured. Jobs containing this type of managed memory consumers may fail due to not being able to allocate managed memory.,debug,<org.apache.flink.runtime.util.config.memory.ManagedMemoryUtils: java.util.Map getManagedMemoryUseCaseWeightsFromConfig(org.apache.flink.configuration.Configuration)>
Stopping the checkpoint services with state <*>.,debug,<org.apache.flink.runtime.scheduler.adaptive.AdaptiveScheduler: void stopCheckpointServicesSafely(org.apache.flink.api.common.JobStatus)>
Failed to stop checkpoint services.,warn,<org.apache.flink.runtime.scheduler.adaptive.AdaptiveScheduler: void stopCheckpointServicesSafely(org.apache.flink.api.common.JobStatus)>
Cannot create JSON plan for job,warn,"<org.apache.flink.runtime.scheduler.adaptivebatch.AdaptiveBatchScheduler: void changeJobVertexParallelism(org.apache.flink.runtime.executiongraph.ExecutionJobVertex,int)>"
Stopping all currently running jobs of dispatcher <*>.,info,<org.apache.flink.runtime.dispatcher.Dispatcher: void terminateRunningJobs()>
Free reserved slot <*>.,debug,"<org.apache.flink.runtime.jobmaster.slotpool.DefaultDeclarativeSlotPool: org.apache.flink.runtime.util.ResourceCounter freeReservedSlot(org.apache.flink.runtime.clusterframework.types.AllocationID,java.lang.Throwable,long)>"
"No hostname could be resolved for the IP address <*>, using IP address as host name. Local input split assignment (such as for HDFS files) may be impacted.",warn,<org.apache.flink.runtime.taskmanager.TaskManagerLocation: java.lang.String getHostName(java.net.InetAddress)>
Request new allocated batch slot with slot request id <*> and resource profile <*>,debug,"<org.apache.flink.runtime.jobmaster.slotpool.DeclarativeSlotPoolBridge: java.util.concurrent.CompletableFuture requestNewAllocatedBatchSlot(org.apache.flink.runtime.jobmaster.SlotRequestId,org.apache.flink.runtime.clusterframework.types.ResourceProfile,java.util.Collection)>"
Log file environment variable \'<*>\' is not set.,warn,<org.apache.flink.runtime.webmonitor.WebMonitorUtils$LogFileLocation: org.apache.flink.runtime.webmonitor.WebMonitorUtils$LogFileLocation find(org.apache.flink.configuration.Configuration)>
JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable \'<*>\' or configuration key \'<*>\'.,warn,<org.apache.flink.runtime.webmonitor.WebMonitorUtils$LogFileLocation: org.apache.flink.runtime.webmonitor.WebMonitorUtils$LogFileLocation find(org.apache.flink.configuration.Configuration)>
Determined location of main cluster component log file: <*>,info,<org.apache.flink.runtime.webmonitor.WebMonitorUtils$LogFileLocation: org.apache.flink.runtime.webmonitor.WebMonitorUtils$LogFileLocation find(org.apache.flink.configuration.Configuration)>
Determined location of main cluster component stdout file: <*>,info,<org.apache.flink.runtime.webmonitor.WebMonitorUtils$LogFileLocation: org.apache.flink.runtime.webmonitor.WebMonitorUtils$LogFileLocation find(org.apache.flink.configuration.Configuration)>
read at <*> from <*>,debug,<org.apache.flink.runtime.state.changelog.StateChangelogHandleStreamHandleReader$1: void advance()>
Could not properly discard completed checkpoint <*>.,warn,"<org.apache.flink.runtime.checkpoint.CheckpointsCleaner: void lambda$cleanup$1(org.apache.flink.util.function.RunnableWithException,org.apache.flink.runtime.checkpoint.Checkpoint,java.lang.Runnable)>"
Job <*> has been removed from the <*> by another process.,debug,<org.apache.flink.runtime.dispatcher.runner.SessionDispatcherLeaderProcess: void handleRemovedJobGraph(org.apache.flink.api.common.JobID)>
"Join Driver object reuse: , <*>_, ., ",debug,<org.apache.flink.runtime.operators.JoinDriver: void prepare()>
Writing <*> to myid file in \'dataDir\'.,info,"<org.apache.flink.runtime.zookeeper.FlinkZooKeeperQuorumPeer: void writeMyIdToDataDir(java.util.Properties,int)>"
"Buffer debloater init settings: gateIndex=<*>, targetTotalBufferSize=<*>, maxBufferSize=<*>, minBufferSize=<*>, bufferDebloatThresholdPercentages=<*>, numberOfSamples=<*>",debug,"<org.apache.flink.runtime.throughput.BufferDebloater: void <init>(int,long,int,int,int,long)>"
Config key <*> is deprecated; use <*> instead.,warn,<org.apache.flink.runtime.resourcemanager.slotmanager.SlotManagerConfiguration: org.apache.flink.api.common.time.Time getSlotRequestTimeout(org.apache.flink.configuration.Configuration)>
Cannot reconnect to job <*> because it is not registered.,info,<org.apache.flink.runtime.taskexecutor.DefaultJobLeaderService: void reconnect(org.apache.flink.api.common.JobID)>
Fetching metrics failed.,debug,"<org.apache.flink.runtime.rest.handler.legacy.metrics.MetricFetcherImpl: void lambda$queryMetrics$5(org.apache.flink.runtime.metrics.dump.MetricDumpSerialization$MetricSerializationResult,java.lang.Throwable)>"
"hasLeadership is called after the service is stopped, returning false.",debug,<org.apache.flink.runtime.leaderelection.DefaultLeaderElectionService: boolean hasLeadership(java.util.UUID)>
Put a large record ( > into the sort buffer,debug,<org.apache.flink.runtime.operators.sort.NormalizedKeySorter: boolean write(java.lang.Object)>
Triggering checkpoint <*> for <*> (<*>) was rejected by the mailbox,debug,"<org.apache.flink.runtime.taskmanager.Task: void triggerCheckpointBarrier(long,long,org.apache.flink.runtime.checkpoint.CheckpointOptions)>"
Encountered error while triggering checkpoint <*> for <*> (<*>) while being not in state running.,debug,"<org.apache.flink.runtime.taskmanager.Task: void triggerCheckpointBarrier(long,long,org.apache.flink.runtime.checkpoint.CheckpointOptions)>"
Declining checkpoint request for non-running task <*> (<*>).,debug,"<org.apache.flink.runtime.taskmanager.Task: void triggerCheckpointBarrier(long,long,org.apache.flink.runtime.checkpoint.CheckpointOptions)>"
"The handler of the request complete callback threw an exception, <*>_, ",error,<org.apache.flink.runtime.io.disk.iomanager.IOManagerAsync$ReaderThread: void shutdown()>
checkpoint request time in queue: <*>,info,<org.apache.flink.runtime.checkpoint.CheckpointRequestDecider: void logInQueueTime(org.apache.flink.runtime.checkpoint.CheckpointCoordinator$CheckpointTriggerRequest)>
unable to uninstall a security module,warn,<org.apache.flink.runtime.security.SecurityUtils: void uninstall()>
A problem occurred during asynchronous disposal of a shared state object: <*>,warn,<org.apache.flink.runtime.state.SharedStateRegistryImpl$AsyncDisposalRunnable: void run()>
Unexpected error when accessing file handle limit,warn,<org.apache.flink.runtime.util.EnvironmentInformation: long getOpenFileHandlesLimit()>
Exception while triggering checkpoint for job <*>.,error,<org.apache.flink.runtime.checkpoint.CheckpointCoordinator$ScheduledTrigger: void run()>
The execution has no slot assigned. This indicates that the execution is no longer running.,debug,"<org.apache.flink.runtime.executiongraph.Execution: java.util.concurrent.CompletableFuture triggerCheckpointHelper(long,long,org.apache.flink.runtime.checkpoint.CheckpointOptions)>"
Stopping ZooKeeperJobGraphStoreWatcher ,info,<org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStoreWatcher: void stop()>
Using failover strategy <*> for <*> (<*>).,info,"<org.apache.flink.runtime.scheduler.DefaultScheduler: void <init>(org.slf4j.Logger,org.apache.flink.runtime.jobgraph.JobGraph,java.util.concurrent.Executor,org.apache.flink.configuration.Configuration,java.util.function.Consumer,org.apache.flink.util.concurrent.ScheduledExecutor,java.lang.ClassLoader,org.apache.flink.runtime.checkpoint.CheckpointsCleaner,org.apache.flink.runtime.checkpoint.CheckpointRecoveryFactory,org.apache.flink.runtime.metrics.groups.JobManagerJobMetricGroup,org.apache.flink.runtime.scheduler.strategy.SchedulingStrategyFactory,org.apache.flink.runtime.executiongraph.failover.flip1.FailoverStrategy$Factory,org.apache.flink.runtime.executiongraph.failover.flip1.RestartBackoffTimeStrategy,org.apache.flink.runtime.scheduler.ExecutionVertexOperations,org.apache.flink.runtime.scheduler.ExecutionVertexVersioner,org.apache.flink.runtime.scheduler.ExecutionSlotAllocatorFactory,long,org.apache.flink.runtime.concurrent.ComponentMainThreadExecutor,org.apache.flink.runtime.executiongraph.JobStatusListener,org.apache.flink.runtime.scheduler.ExecutionGraphFactory,org.apache.flink.runtime.shuffle.ShuffleMaster,org.apache.flink.api.common.time.Time,org.apache.flink.runtime.scheduler.VertexParallelismStore)>"
Unable to close checkpointStream after a failure,warn,<org.apache.flink.runtime.checkpoint.channel.ChannelStateCheckpointWriter: void fail(java.lang.Throwable)>
Leader information for <*> has changed to <*>.,debug,"<org.apache.flink.runtime.leaderelection.ZooKeeperMultipleComponentLeaderElectionDriver: org.apache.flink.runtime.leaderelection.LeaderInformation tryReadingLeaderInformation(org.apache.flink.shaded.curator5.org.apache.curator.framework.recipes.cache.ChildData,java.lang.String)>"
Could not read leader information for <*>. Rewriting the information.,debug,"<org.apache.flink.runtime.leaderelection.ZooKeeperMultipleComponentLeaderElectionDriver: org.apache.flink.runtime.leaderelection.LeaderInformation tryReadingLeaderInformation(org.apache.flink.shaded.curator5.org.apache.curator.framework.recipes.cache.ChildData,java.lang.String)>"
"ReduceCombineDriver object reuse: , <*>_, ., ",debug,<org.apache.flink.runtime.operators.ReduceCombineDriver: void prepare()>
Starting execution of job \'<*>\' (<*>) under job master id <*>.,info,<org.apache.flink.runtime.jobmaster.JobMaster: void startJobExecution()>
The failing attempt <*> belongs to an already not running task thus won\'t fail the job,debug,"<org.apache.flink.runtime.executiongraph.DefaultExecutionGraph: void failGlobalIfExecutionIsStillRunning(java.lang.Throwable,org.apache.flink.runtime.executiongraph.ExecutionAttemptID)>"
Rescaling maximum parallelism for JobVertex <*> from <*> to <*>,debug,"<org.apache.flink.runtime.checkpoint.StateAssignmentOperation: void checkParallelismPreconditions(org.apache.flink.runtime.checkpoint.OperatorState,org.apache.flink.runtime.executiongraph.ExecutionJobVertex)>"
"No metrics reporter configured, no metrics will be exposed/reported.",info,"<org.apache.flink.runtime.metrics.MetricRegistryImpl: void <init>(org.apache.flink.runtime.metrics.MetricRegistryConfiguration,java.util.Collection,java.util.concurrent.ScheduledExecutorService)>"
Periodically reporting metrics in intervals of <*> for reporter <*> of type <*>.,info,"<org.apache.flink.runtime.metrics.MetricRegistryImpl: void <init>(org.apache.flink.runtime.metrics.MetricRegistryConfiguration,java.util.Collection,java.util.concurrent.ScheduledExecutorService)>"
Reporting metrics for reporter <*> of type <*>.,info,"<org.apache.flink.runtime.metrics.MetricRegistryImpl: void <init>(org.apache.flink.runtime.metrics.MetricRegistryConfiguration,java.util.Collection,java.util.concurrent.ScheduledExecutorService)>"
"Failed to parse delimiter \'<*>\' for reporter \'<*>\', using global delimiter \'<*>\'.",warn,"<org.apache.flink.runtime.metrics.MetricRegistryImpl: void <init>(org.apache.flink.runtime.metrics.MetricRegistryConfiguration,java.util.Collection,java.util.concurrent.ScheduledExecutorService)>"
Could not instantiate metrics reporter <*>. Metrics might not be exposed/reported.,error,"<org.apache.flink.runtime.metrics.MetricRegistryImpl: void <init>(org.apache.flink.runtime.metrics.MetricRegistryConfiguration,java.util.Collection,java.util.concurrent.ScheduledExecutorService)>"
Error in the task canceler for task <*>.,error,<org.apache.flink.runtime.taskmanager.Task$TaskInterrupter: void run()>
Can not find Execution for attempt <*>.,debug,"<org.apache.flink.runtime.scheduler.ExecutionGraphHandler: org.apache.flink.runtime.jobmaster.SerializedInputSplit requestNextInputSplit(org.apache.flink.runtime.jobgraph.JobVertexID,org.apache.flink.runtime.executiongraph.ExecutionAttemptID)>"
Send next input split <*>.,debug,"<org.apache.flink.runtime.scheduler.ExecutionGraphHandler: org.apache.flink.runtime.jobmaster.SerializedInputSplit requestNextInputSplit(org.apache.flink.runtime.jobgraph.JobVertexID,org.apache.flink.runtime.executiongraph.ExecutionAttemptID)>"
No more input splits available,debug,"<org.apache.flink.runtime.scheduler.ExecutionGraphHandler: org.apache.flink.runtime.jobmaster.SerializedInputSplit requestNextInputSplit(org.apache.flink.runtime.jobgraph.JobVertexID,org.apache.flink.runtime.executiongraph.ExecutionAttemptID)>"
<*>: Releasing <*>.,debug,<org.apache.flink.runtime.io.network.partition.consumer.SingleInputGate: void close()>
<*>: Error during release of channel resources: <*>.,warn,<org.apache.flink.runtime.io.network.partition.consumer.SingleInputGate: void close()>
Terminating the leadership runner for job <*>.,debug,<org.apache.flink.runtime.jobmaster.JobMasterServiceLeadershipRunner: java.util.concurrent.CompletableFuture closeAsync()>
Confirm leader session ID <*> for leader <*>.,debug,"<org.apache.flink.runtime.leaderelection.DefaultLeaderElectionService: void confirmLeadership(java.util.UUID,java.lang.String)>"
"Ignoring the leader session Id <*> confirmation, since the LeaderElectionService has already been stopped.",debug,"<org.apache.flink.runtime.leaderelection.DefaultLeaderElectionService: void confirmLeadership(java.util.UUID,java.lang.String)>"
"Receive an old confirmation call of leader session ID <*>, current issued session ID is <*>",debug,"<org.apache.flink.runtime.leaderelection.DefaultLeaderElectionService: void confirmLeadership(java.util.UUID,java.lang.String)>"
The leader session ID <*> was confirmed even though the corresponding JobManager was not elected as the leader.,warn,"<org.apache.flink.runtime.leaderelection.DefaultLeaderElectionService: void confirmLeadership(java.util.UUID,java.lang.String)>"
Not shutting down cluster after someone retrieved the job result.,info,"<org.apache.flink.runtime.dispatcher.MiniDispatcher: java.util.concurrent.CompletableFuture requestJobResult(org.apache.flink.api.common.JobID,org.apache.flink.api.common.time.Time)>"
Request for <*> already exists,debug,<org.apache.flink.runtime.scheduler.SharedSlot: java.util.concurrent.CompletableFuture allocateLogicalSlot(org.apache.flink.runtime.scheduler.strategy.ExecutionVertexID)>
Resource manager service is not running. Ignore revoking leadership.,info,<org.apache.flink.runtime.resourcemanager.ResourceManagerServiceImpl: void lambda$revokeLeadership$3()>
Resource manager service is revoked leadership with session id <*>.,info,<org.apache.flink.runtime.resourcemanager.ResourceManagerServiceImpl: void lambda$revokeLeadership$3()>
Could not close the state stream for <*>.,warn,<org.apache.flink.runtime.state.filesystem.FsCheckpointMetadataOutputStream: void close()>
Suspending the slot manager.,info,<org.apache.flink.runtime.resourcemanager.slotmanager.FineGrainedSlotManager: void suspend()>
Skipped checkpoint state for operator <*>.,info,"<org.apache.flink.runtime.checkpoint.StateAssignmentOperation: void checkStateMappingCompleteness(boolean,java.util.Map,java.util.Set)>"
Source <*> received split request from parallel task <*>,info,"<org.apache.flink.runtime.source.coordinator.SourceCoordinator: void lambda$handleEventFromOperator$2(org.apache.flink.runtime.operators.coordination.OperatorEvent,int)>"
Source <*> received custom event from parallel task <*>: <*>,debug,"<org.apache.flink.runtime.source.coordinator.SourceCoordinator: void lambda$handleEventFromOperator$2(org.apache.flink.runtime.operators.coordination.OperatorEvent,int)>"
Source <*> registering reader for parallel task <*> @ <*>,info,"<org.apache.flink.runtime.source.coordinator.SourceCoordinator: void lambda$handleEventFromOperator$2(org.apache.flink.runtime.operators.coordination.OperatorEvent,int)>"
"MapPartitionDriver object reuse: , <*>_, ., ",debug,<org.apache.flink.runtime.operators.MapPartitionDriver: void prepare()>
"Name collision: Adding a metric subgroup with the same name as an existing metric: \', name, \'. Metric might not get properly reported. , <*>, ",warn,"<org.apache.flink.runtime.metrics.groups.AbstractMetricGroup: org.apache.flink.runtime.metrics.groups.AbstractMetricGroup addGroup(java.lang.String,org.apache.flink.runtime.metrics.groups.AbstractMetricGroup$ChildType)>"
Triggering checkpoint <*> (type=<*>) @ <*> for job <*>.,info,"<org.apache.flink.runtime.checkpoint.CheckpointCoordinator: org.apache.flink.runtime.checkpoint.PendingCheckpoint createPendingCheckpoint(long,org.apache.flink.runtime.checkpoint.CheckpointProperties,org.apache.flink.runtime.checkpoint.CheckpointPlan,boolean,long,java.util.concurrent.CompletableFuture)>"
Reserve free slot with allocation id <*>.,debug,<org.apache.flink.runtime.jobmaster.slotpool.DefaultAllocatedSlotPool: org.apache.flink.runtime.jobmaster.slotpool.AllocatedSlot reserveFreeSlot(org.apache.flink.runtime.clusterframework.types.AllocationID)>
startPersisting,logEvent,"<org.apache.flink.runtime.io.network.partition.consumer.ChannelStatePersister: void startPersisting(long,java.util.List)>"
"Ignoring slot allocation update from task executor <*> for slot <*> and job <*>, because the allocation was already completed or cancelled.",debug,"<org.apache.flink.runtime.resourcemanager.slotmanager.DeclarativeSlotManager: java.lang.Void lambda$allocateSlot$5(org.apache.flink.runtime.clusterframework.types.SlotID,org.apache.flink.runtime.clusterframework.types.AllocationID,org.apache.flink.runtime.instance.InstanceID,org.apache.flink.api.common.JobID,org.apache.flink.runtime.resourcemanager.slotmanager.TaskManagerSlotInformation,org.apache.flink.runtime.messages.Acknowledge,java.lang.Throwable)>"
Completed allocation of slot <*> for job <*>.,trace,"<org.apache.flink.runtime.resourcemanager.slotmanager.DeclarativeSlotManager: java.lang.Void lambda$allocateSlot$5(org.apache.flink.runtime.clusterframework.types.SlotID,org.apache.flink.runtime.clusterframework.types.AllocationID,org.apache.flink.runtime.instance.InstanceID,org.apache.flink.api.common.JobID,org.apache.flink.runtime.resourcemanager.slotmanager.TaskManagerSlotInformation,org.apache.flink.runtime.messages.Acknowledge,java.lang.Throwable)>"
"Tried allocating slot <*> for job <*>, but it was already allocated for job <*>.",debug,"<org.apache.flink.runtime.resourcemanager.slotmanager.DeclarativeSlotManager: java.lang.Void lambda$allocateSlot$5(org.apache.flink.runtime.clusterframework.types.SlotID,org.apache.flink.runtime.clusterframework.types.AllocationID,org.apache.flink.runtime.instance.InstanceID,org.apache.flink.api.common.JobID,org.apache.flink.runtime.resourcemanager.slotmanager.TaskManagerSlotInformation,org.apache.flink.runtime.messages.Acknowledge,java.lang.Throwable)>"
Slot allocation for slot <*> for job <*> failed.,warn,"<org.apache.flink.runtime.resourcemanager.slotmanager.DeclarativeSlotManager: java.lang.Void lambda$allocateSlot$5(org.apache.flink.runtime.clusterframework.types.SlotID,org.apache.flink.runtime.clusterframework.types.AllocationID,org.apache.flink.runtime.instance.InstanceID,org.apache.flink.api.common.JobID,org.apache.flink.runtime.resourcemanager.slotmanager.TaskManagerSlotInformation,org.apache.flink.runtime.messages.Acknowledge,java.lang.Throwable)>"
Successfully deleted allocation state metadata file <*>.,debug,<org.apache.flink.runtime.taskexecutor.slot.FileSlotAllocationSnapshotPersistenceService: void deleteAllocationSnapshot(int)>
Cannot delete the local allocations state file <*>.,warn,<org.apache.flink.runtime.taskexecutor.slot.FileSlotAllocationSnapshotPersistenceService: void deleteAllocationSnapshot(int)>
Caught exception,error,"<org.apache.flink.runtime.rest.handler.legacy.files.StaticFileServerHandler: void exceptionCaught(org.apache.flink.shaded.netty4.io.netty.channel.ChannelHandlerContext,java.lang.Throwable)>"
The derived JVM Overhead size (<*>) does not match the configured or default JVM Overhead fraction (<*>) from the configured Total Process Memory size (<*>). The derived JVM OVerhead size will be used.,info,"<org.apache.flink.runtime.util.config.memory.ProcessMemoryUtils: void sanityCheckJvmOverhead(org.apache.flink.configuration.Configuration,org.apache.flink.configuration.MemorySize,org.apache.flink.configuration.MemorySize)>"
<*> obtained the leadership.,debug,<org.apache.flink.runtime.leaderelection.ZooKeeperMultipleComponentLeaderElectionDriver: void isLeader()>
,checkLimitAndMoveFile,"<org.apache.flink.runtime.blob.PermanentBlobCache: byte[] readFile(org.apache.flink.api.common.JobID,org.apache.flink.runtime.blob.PermanentBlobKey)>"
Could not delete the staging file <*> for blob key <*> and job <*>.,warn,"<org.apache.flink.runtime.blob.PermanentBlobCache: byte[] readFile(org.apache.flink.api.common.JobID,org.apache.flink.runtime.blob.PermanentBlobKey)>"
Failed to copy from blob store. Downloading from BLOB server instead.,info,"<org.apache.flink.runtime.blob.PermanentBlobCache: byte[] readFile(org.apache.flink.api.common.JobID,org.apache.flink.runtime.blob.PermanentBlobKey)>"
,checkLimitAndMoveFile,"<org.apache.flink.runtime.blob.PermanentBlobCache: byte[] readFile(org.apache.flink.api.common.JobID,org.apache.flink.runtime.blob.PermanentBlobKey)>"
Could not delete the staging file <*> for blob key <*> and job <*>.,warn,"<org.apache.flink.runtime.blob.PermanentBlobCache: byte[] readFile(org.apache.flink.api.common.JobID,org.apache.flink.runtime.blob.PermanentBlobKey)>"
Could not delete the staging file <*> for blob key <*> and job <*>.,warn,"<org.apache.flink.runtime.blob.PermanentBlobCache: byte[] readFile(org.apache.flink.api.common.JobID,org.apache.flink.runtime.blob.PermanentBlobKey)>"
"Unhandled error in curator framework, error message: <*>",error,"<org.apache.flink.runtime.util.ZooKeeperUtils: void lambda$startCuratorFramework$0(org.apache.flink.runtime.rpc.FatalErrorHandler,java.lang.String,java.lang.Throwable)>"
Job <*> reached terminal state <*>.,info,<org.apache.flink.runtime.scheduler.adaptive.AdaptiveScheduler: void onFinished(org.apache.flink.runtime.executiongraph.ArchivedExecutionGraph)>
Received <*> event (path: <*>),debug,"<org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStoreWatcher$JobGraphsPathCacheListener: void childEvent(org.apache.flink.shaded.curator5.org.apache.curator.framework.CuratorFramework,org.apache.flink.shaded.curator5.org.apache.curator.framework.recipes.cache.PathChildrenCacheEvent)>"
Received <*> event,debug,"<org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStoreWatcher$JobGraphsPathCacheListener: void childEvent(org.apache.flink.shaded.curator5.org.apache.curator.framework.CuratorFramework,org.apache.flink.shaded.curator5.org.apache.curator.framework.recipes.cache.PathChildrenCacheEvent)>"
Received CHILD_ADDED event notification for job <*>,debug,"<org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStoreWatcher$JobGraphsPathCacheListener: void childEvent(org.apache.flink.shaded.curator5.org.apache.curator.framework.CuratorFramework,org.apache.flink.shaded.curator5.org.apache.curator.framework.recipes.cache.PathChildrenCacheEvent)>"
Received CHILD_REMOVED event notification for job <*>,debug,"<org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStoreWatcher$JobGraphsPathCacheListener: void childEvent(org.apache.flink.shaded.curator5.org.apache.curator.framework.CuratorFramework,org.apache.flink.shaded.curator5.org.apache.curator.framework.recipes.cache.PathChildrenCacheEvent)>"
ZooKeeper connection SUSPENDING. Changes to the submitted job graphs are not monitored (temporarily).,warn,"<org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStoreWatcher$JobGraphsPathCacheListener: void childEvent(org.apache.flink.shaded.curator5.org.apache.curator.framework.CuratorFramework,org.apache.flink.shaded.curator5.org.apache.curator.framework.recipes.cache.PathChildrenCacheEvent)>"
ZooKeeper connection LOST. Changes to the submitted job graphs are not monitored (permanently).,warn,"<org.apache.flink.runtime.jobmanager.ZooKeeperJobGraphStoreWatcher$JobGraphsPathCacheListener: void childEvent(org.apache.flink.shaded.curator5.org.apache.curator.framework.CuratorFramework,org.apache.flink.shaded.curator5.org.apache.curator.framework.recipes.cache.PathChildrenCacheEvent)>"
