Log,LoggingLevel,Method
"Supervisor <*> was never back to normal during tolerance period, probably dead. Will remove from cache.",info,<org.apache.storm.scheduler.blacklist.BlacklistScheduler: void removeLongTimeDisappearFromCache()>
"Worker slot <*> was never back to normal during tolerance period, probably dead. Will be removed from cache.",info,<org.apache.storm.scheduler.blacklist.BlacklistScheduler: void removeLongTimeDisappearFromCache()>
Key list to download <*>,debug,"<org.apache.storm.blobstore.LocalFsBlobStoreSynchronizer: java.util.Set getKeySetToDownload(java.util.Set,java.util.Set)>"
Number is null... <*>,warn,<org.apache.storm.LocalCluster$Builder: org.apache.storm.LocalCluster$Builder withSupervisorSlotPortMin(java.lang.Number)>
"Trying to assign nothing from , topId,  to , <*>,  (Ignored), ",warn,"<org.apache.storm.scheduler.multitenant.Node: void assign(java.lang.String,java.util.Collection,org.apache.storm.scheduler.Cluster)>"
Adding topo to history log: <*>,info,"<org.apache.storm.daemon.nimbus.Nimbus: void addTopoToHistoryLog(java.lang.String,java.util.Map)>"
Saving Pulse for id  <*>  data  <*> .,debug,<org.apache.storm.pacemaker.Pacemaker: org.apache.storm.generated.HBMessage sendPulse(org.apache.storm.generated.HBPulse)>
Get TopologySummaryByName info exception.,warn,<org.apache.storm.daemon.nimbus.Nimbus: org.apache.storm.generated.TopologySummary getTopologySummaryByName(java.lang.String)>
running docker command is interrupted,error,"<org.apache.storm.container.docker.DockerManager: boolean areAllProcessesDead(java.lang.String,java.lang.String)>"
"The exitValue of the docker command , <*>,  is non-zero: , <*>, ",error,"<org.apache.storm.container.docker.DockerManager: boolean areAllProcessesDead(java.lang.String,java.lang.String)>"
The output of the docker command <*> is: <*>; the exitValue is <*>,debug,"<org.apache.storm.container.docker.DockerManager: boolean areAllProcessesDead(java.lang.String,java.lang.String)>"
"Failed to find Container ID for <*>, assuming dead",error,"<org.apache.storm.container.docker.DockerManager: boolean areAllProcessesDead(java.lang.String,java.lang.String)>"
Failed to report found metric: <*>,warn,"<org.apache.storm.metricstore.rocksdb.RocksDbStore: void scanInternal(org.apache.storm.metricstore.FilterOptions,org.apache.storm.metricstore.MetricStore$ScanCallback,org.apache.storm.metricstore.rocksdb.RocksDbStore$RocksDbScanCallback)>"
refreshing scheduler config since cache is expired,debug,<org.apache.storm.scheduler.utils.SchedulerConfigCache: void refresh()>
skip refreshing scheduler config since cache is not yet expired;,debug,<org.apache.storm.scheduler.utils.SchedulerConfigCache: void refresh()>
userResourcePools: <*>,debug,<org.apache.storm.scheduler.resource.ResourceAwareScheduler: java.util.Map getUsers(org.apache.storm.scheduler.Cluster)>
Cannot determine user for topology <*>.  Will skip scheduling this topology,error,<org.apache.storm.scheduler.resource.ResourceAwareScheduler: java.util.Map getUsers(org.apache.storm.scheduler.Cluster)>
Deactivate topology exception. (topology name=\'<*>\'),warn,<org.apache.storm.daemon.nimbus.Nimbus: void deactivate(java.lang.String)>
StateInfo for update <*>,debug,"<org.apache.storm.blobstore.BlobStoreUtils: void updateKeyForBlobStore(java.util.Map,org.apache.storm.blobstore.BlobStore,org.apache.storm.shade.org.apache.curator.framework.CuratorFramework,java.lang.String,org.apache.storm.nimbus.NimbusInfo)>"
Updating state inside zookeeper for an update,debug,"<org.apache.storm.blobstore.BlobStoreUtils: void updateKeyForBlobStore(java.util.Map,org.apache.storm.blobstore.BlobStore,org.apache.storm.shade.org.apache.curator.framework.CuratorFramework,java.lang.String,org.apache.storm.nimbus.NimbusInfo)>"
Failed to store data to RocksDB,error,<org.apache.storm.metricstore.rocksdb.RocksDbMetricsWriter: void processBatchInsert(java.util.TreeMap)>
Checking if path  <*>  exists... <*> .,debug,"<org.apache.storm.pacemaker.Pacemaker: org.apache.storm.generated.HBMessage pathExists(java.lang.String,boolean)>"
add supervisor <*>  to blacklist. The bad slot history of supervisors is : <*>,warn,"<org.apache.storm.scheduler.blacklist.reporters.LogReporter: void reportBlacklist(java.lang.String,java.util.List)>"
"<*>,  storm-name: <*> access result: <*>, ",info,"<org.apache.storm.logging.ThriftAccessLogger: void logAccess(java.lang.Integer,java.net.InetAddress,java.security.Principal,java.lang.String,java.lang.String,java.lang.String)>"
"<*>,  access result: <*>, ",info,"<org.apache.storm.logging.ThriftAccessLogger: void logAccess(java.lang.Integer,java.net.InetAddress,java.security.Principal,java.lang.String,java.lang.String,java.lang.String)>"
"<*>,  storm-name: <*>, ",info,"<org.apache.storm.logging.ThriftAccessLogger: void logAccess(java.lang.Integer,java.net.InetAddress,java.security.Principal,java.lang.String,java.lang.String,java.lang.String)>"
Adding reference <*> with timestamp <*> to <*>,info,"<org.apache.storm.localizer.LocallyCachedBlob: void addReference(org.apache.storm.localizer.PortAndAssignment,org.apache.storm.localizer.BlobChangingCallback)>"
<*> already has a reservation for <*>,warn,"<org.apache.storm.localizer.LocallyCachedBlob: void addReference(org.apache.storm.localizer.PortAndAssignment,org.apache.storm.localizer.BlobChangingCallback)>"
set worker profiler topology exception. (topology id=\'<*>\'),warn,"<org.apache.storm.daemon.nimbus.Nimbus: void setWorkerProfiler(java.lang.String,org.apache.storm.generated.ProfileRequest)>"
Failed to parse uri=<*>,error,<org.apache.storm.scheduler.utils.ConfigLoaderFactoryService: org.apache.storm.scheduler.utils.IConfigLoader createConfigLoader(java.util.Map)>
Config <*> is not set.,debug,<org.apache.storm.scheduler.utils.ConfigLoaderFactoryService: org.apache.storm.scheduler.utils.IConfigLoader createConfigLoader(java.util.Map)>
INFO: <*> ID: <*>,debug,"<org.apache.storm.daemon.nimbus.Nimbus: org.apache.storm.generated.SupervisorSummary makeSupervisorSummary(java.lang.String,org.apache.storm.generated.SupervisorInfo)>"
NUM PORTS: <*>,debug,"<org.apache.storm.daemon.nimbus.Nimbus: org.apache.storm.generated.SupervisorSummary makeSupervisorSummary(java.lang.String,org.apache.storm.generated.SupervisorInfo)>"
Negative fragmented CPU on <*>,warn,"<org.apache.storm.daemon.nimbus.Nimbus: org.apache.storm.generated.SupervisorSummary makeSupervisorSummary(java.lang.String,org.apache.storm.generated.SupervisorInfo)>"
Negative fragmented Mem on <*>,warn,"<org.apache.storm.daemon.nimbus.Nimbus: org.apache.storm.generated.SupervisorSummary makeSupervisorSummary(java.lang.String,org.apache.storm.generated.SupervisorInfo)>"
Could not schedule <*>:<*> on <*> not enough CPU <*> > <*>,trace,"<org.apache.storm.scheduler.Cluster: boolean wouldFit(org.apache.storm.scheduler.WorkerSlot,org.apache.storm.scheduler.ExecutorDetails,org.apache.storm.scheduler.TopologyDetails,org.apache.storm.scheduler.resource.normalization.NormalizedResourceOffer,double)>"
Could not schedule <*>:<*> on <*> not enough Mem <*> > <*>,trace,"<org.apache.storm.scheduler.Cluster: boolean wouldFit(org.apache.storm.scheduler.WorkerSlot,org.apache.storm.scheduler.ExecutorDetails,org.apache.storm.scheduler.TopologyDetails,org.apache.storm.scheduler.resource.normalization.NormalizedResourceOffer,double)>"
Could not schedule <*>:<*> on <*> HEAP would be too large <*> > <*>,trace,"<org.apache.storm.scheduler.Cluster: boolean wouldFit(org.apache.storm.scheduler.WorkerSlot,org.apache.storm.scheduler.ExecutorDetails,org.apache.storm.scheduler.TopologyDetails,org.apache.storm.scheduler.resource.normalization.NormalizedResourceOffer,double)>"
Key set to delete in blobstore <*>,debug,"<org.apache.storm.blobstore.LocalFsBlobStoreSynchronizer: void deleteKeySetFromBlobStoreNotOnZookeeper(java.util.Set,java.util.Set)>"
Failed to initialize metric store,error,"<org.apache.storm.daemon.nimbus.Nimbus: void <init>(java.util.Map,org.apache.storm.scheduler.INimbus,org.apache.storm.cluster.IStormClusterState,org.apache.storm.nimbus.NimbusInfo,org.apache.storm.blobstore.BlobStore,org.apache.storm.daemon.nimbus.TopoCache,org.apache.storm.nimbus.ILeaderElector,org.apache.storm.security.auth.IGroupMappingServiceProvider,org.apache.storm.metric.StormMetricsRegistry)>"
Failed to get remote blobstore update time,error,<org.apache.storm.localizer.AsyncLocalizer: long getRemoteBlobstoreUpdateTime()>
Can\'t find <*> for name <*>,error,"<org.apache.storm.scheduler.blacklist.strategies.DefaultBlacklistStrategy: java.lang.Object initializeInstance(java.lang.String,java.lang.String)>"
Throw InstantiationException <*> for name <*>,error,"<org.apache.storm.scheduler.blacklist.strategies.DefaultBlacklistStrategy: java.lang.Object initializeInstance(java.lang.String,java.lang.String)>"
Throw IllegalAccessException <*> for name <*>,error,"<org.apache.storm.scheduler.blacklist.strategies.DefaultBlacklistStrategy: java.lang.Object initializeInstance(java.lang.String,java.lang.String)>"
STATE <*>,debug,"<org.apache.storm.daemon.supervisor.Slot: org.apache.storm.daemon.supervisor.Slot$DynamicState stateMachineStep(org.apache.storm.daemon.supervisor.Slot$DynamicState,org.apache.storm.daemon.supervisor.Slot$StaticState)>"
<*> does not match the version file so fix the version file,error,<org.apache.storm.localizer.LocalizedResource: void cleanupOrphanedData()>
Looking to clean up after <*> in <*>,debug,<org.apache.storm.localizer.LocalizedResource: void cleanupOrphanedData()>
Cleaning up old localized resource file <*>,info,<org.apache.storm.localizer.LocalizedResource: void cleanupOrphanedData()>
Nothing to cleanup with baseDir <*> even though we expected there to be something there,warn,<org.apache.storm.localizer.LocalizedResource: void cleanupOrphanedData()>
Starting nimbus server for storm version \'<*>\',info,"<org.apache.storm.daemon.nimbus.Nimbus: org.apache.storm.daemon.nimbus.Nimbus launchServer(java.util.Map,org.apache.storm.scheduler.INimbus)>"
"<*>, ",debug,<org.apache.storm.daemon.supervisor.timer.SupervisorHeartbeat: java.util.Map mkSupervisorCapacities(java.util.Map)>
\n\n\t\tRUNNING <*> with args <*>\n\n,info,<org.apache.storm.LocalCluster: java.lang.Void lambda$main$1(java.lang.String[])>
"Failed to submit topology. Topology requests more than , <*>,  workers., ",<init>,"<org.apache.storm.daemon.nimbus.Nimbus: void validateTopologySize(java.util.Map,java.util.Map,org.apache.storm.generated.StormTopology)>"
"Failed to submit topology. Topology requests more than , <*>,  executors., ",<init>,"<org.apache.storm.daemon.nimbus.Nimbus: void validateTopologySize(java.util.Map,java.util.Map,org.apache.storm.generated.StormTopology)>"
Adding tracked metrics for ID <*>,warn,<org.apache.storm.LocalCluster: void <init>(org.apache.storm.LocalCluster$Builder)>
topology.skip.missing.kryo.registrations,put,<org.apache.storm.LocalCluster: void <init>(org.apache.storm.LocalCluster$Builder)>
topology.enable.message.timeouts,put,<org.apache.storm.LocalCluster: void <init>(org.apache.storm.LocalCluster$Builder)>
topology.trident.batch.emit.interval.millis,put,<org.apache.storm.LocalCluster: void <init>(org.apache.storm.LocalCluster$Builder)>
topology.min.replication.count,put,<org.apache.storm.LocalCluster: void <init>(org.apache.storm.LocalCluster$Builder)>
Get topo info exception. (topology id=\'<*>\'),warn,"<org.apache.storm.daemon.nimbus.Nimbus: org.apache.storm.generated.TopologyInfo getTopologyInfoWithOpts(java.lang.String,org.apache.storm.generated.GetInfoOptions)>"
The new summary is <*>,debug,<org.apache.storm.daemon.nimbus.Nimbus$ClusterSummaryMetricSet$1: org.apache.storm.generated.ClusterSummary loadValue()>
Get cluster info exception.,warn,<org.apache.storm.daemon.nimbus.Nimbus$ClusterSummaryMetricSet$1: org.apache.storm.generated.ClusterSummary loadValue()>
,<init>,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
"symlinks are disabled so blobs are not supported but topology.blobstore.map = , ex, ",<init>,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
topology.name,put,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
topology.submitter.principal,put,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
topology.submitter.user,put,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
topology.users,put,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
storm.zookeeper.topology.auth.scheme,remove,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
storm.zookeeper.topology.auth.payload,remove,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
topology.classpath.beginning,remove,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
"Topology submitted with storm version , topoVersionString_,  but could not find a configured compatible version to use , <*>, ",<init>,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
topology.eventlogger.executors,put,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
Config <*> set to: <*> for topology: <*>,debug,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
Could not determine the user to run this topology as.,<init>,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
Received topology submission for <*> (storm-<*> JDK-<*>) with conf <*>,info,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
uploadedJar <*> for <*>,info,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
Topology submission exception. (topology name=\'<*>\'),warn,"<org.apache.storm.daemon.nimbus.Nimbus: void submitTopologyWithOpts(java.lang.String,java.lang.String,java.lang.String,org.apache.storm.generated.StormTopology,org.apache.storm.generated.SubmitOptions)>"
